*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-04-22 14:49:35"
*GLOBAL*,title,"Seabird Productivity"
*GLOBAL*,institution,"OSU Seabird Oceanography Lab;NWFSC"
*GLOBAL*,summary,"Data from Hatfield Marine Science Center Seabird Oceanography Lab Yaquina Head Seabird Studies; contact Rachael Orben (Rachael.Orben@oregonstate.edu) before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean, which is calculated by averaging all of the annual means prior to the most recent year (for data from 2007 to 2020, the long term mean is calculated including data from 2007-2019).Data from Hatfield Marine Science Center Seabird Oceanography Lab Yaquina Head Seabird Studies; contact Rachael Orben (Rachael.Orben@oregonstate.edu) before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean, which is calculated by averaging all of the annual means prior to the most recent year (for data from 2007 to 2020, the long term mean is calculated including data from 2007-2019).Data from Hatfield Marine Science Center Seabird Oceanography Lab Yaquina Head Seabird Studies; contact Rachael Orben (Rachael.Orben@oregonstate.edu) before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean, which is calculated by averaging all of the annual means prior to the most recent year (for data from 2007 to 2020, the long term mean is calculated including data from 2007-2019).Data from Washington Rhinoceros Auklet Ecology Project; contact scott.pearson@dfw.wa.gov before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean."
*GLOBAL*,infoUrl,"https://www.integratedecosystemassessment.noaa.gov/regions/california-current/about-california-current-integrated-ecosystem-assessment"
*GLOBAL*,contributor_name,"Good"
*GLOBAL*,contributor_email,"tom.good@noaa.gov"
year,*DATA_TYPE*,String
year,units,"yyyy"
index,*DATA_TYPE*,float
index,units,"Anomaly"
index,long_name,"Productivity anomaly"
timeseries,*DATA_TYPE*,String
metric,*DATA_TYPE*,String
*END_METADATA*
"year","index","timeseries","metric"
2006,NaN,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2007,0.1875,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2008,0.4275,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2009,0.3775,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2010,0.3675,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2011,-0.1525,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2012,-0.1025,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2013,-0.1425,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2014,-0.2325,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2015,-0.3825,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2016,-0.3625,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2017,-0.3825,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2018,0.0175,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2019,0.0975,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2020,-0.3625,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2021,0.0075,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2022,-0.3825,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2023,-0.0125,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2024,-0.3425,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2025,0.0175,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2008,-0.3513,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2009,-1.0513,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2010,-0.8413,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2011,-1.1913,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2012,-0.1313,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2013,0.9387,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2014,0.0187,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2015,-1.1913,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2016,0.1787,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2017,0.4587,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2018,1.0787,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2019,-0.5813,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2020,1.2887,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2021,1.6417,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2022,-1.1913,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2023,1.5687,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2024,-1.0013,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2025,0.3587,"Pelagic cormorant productivity anomaly (No CC)","Productivity anomaly"
2008,-0.0626,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2009,0.0638,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2010,-0.0604,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2011,-0.0067,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2012,-0.0612,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2013,0.1233,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2014,0.1208,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2015,0.0167,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2016,-0.0091,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2017,0.0437,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2018,-0.0953,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2019,0.0503,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2020,NaN,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2021,-0.1256,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2022,-0.0529,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2023,0.051,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2024,-0.0108,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
2025,0.015,"Rhinoceros auklet productivity anomaly (No CC - DI)","Productivity anomaly"
*END_DATA*
