"year","species","bio_total_kg","port","timeseries","maxbio","index","metric"
2004,"sablefish",45839759.7919628,"AST","Sablefish AST",106437455.646855,0.43067320158472,"Scaled biomass index"
2005,"sablefish",37697285.8534053,"AST","Sablefish AST",106437455.646855,0.35417312095922,"Scaled biomass index"
2006,"sablefish",37478741.6618778,"AST","Sablefish AST",106437455.646855,0.352119857000595,"Scaled biomass index"
2007,"sablefish",36437475.5946038,"AST","Sablefish AST",106437455.646855,0.342336965621372,"Scaled biomass index"
2008,"sablefish",29079073.5480439,"AST","Sablefish AST",106437455.646855,0.273203388518834,"Scaled biomass index"
2009,"sablefish",22941994.2751445,"AST","Sablefish AST",106437455.646855,0.215544369561622,"Scaled biomass index"
2010,"sablefish",29608092.2414819,"AST","Sablefish AST",106437455.646855,0.278173619066182,"Scaled biomass index"
2011,"sablefish",33059110.2523526,"AST","Sablefish AST",106437455.646855,0.310596585116034,"Scaled biomass index"
2012,"sablefish",30028409.8891097,"AST","Sablefish AST",106437455.646855,0.282122582756392,"Scaled biomass index"
2013,"sablefish",27761878.5777785,"AST","Sablefish AST",106437455.646855,0.260828092977801,"Scaled biomass index"
2014,"sablefish",27454029.5774556,"AST","Sablefish AST",106437455.646855,0.257935793472405,"Scaled biomass index"
2015,"sablefish",32639529.1046607,"AST","Sablefish AST",106437455.646855,0.306654540981834,"Scaled biomass index"
2016,"sablefish",37252744.7176372,"AST","Sablefish AST",106437455.646855,0.349996573022533,"Scaled biomass index"
2017,"sablefish",43652781.2043722,"AST","Sablefish AST",106437455.646855,0.410126124671809,"Scaled biomass index"
2018,"sablefish",45601944.8375407,"AST","Sablefish AST",106437455.646855,0.428438885168785,"Scaled biomass index"
2019,"sablefish",36736316.5766216,"AST","Sablefish AST",106437455.646855,0.345144633093332,"Scaled biomass index"
2021,"sablefish",60518372.2501344,"AST","Sablefish AST",106437455.646855,0.568581538165719,"Scaled biomass index"
2022,"sablefish",106437455.646855,"AST","Sablefish AST",106437455.646855,1,"Scaled biomass index"
2023,"sablefish",83461461.7815786,"AST","Sablefish AST",106437455.646855,0.784136197867151,"Scaled biomass index"
2024,"sablefish",90404836.3698859,"AST","Sablefish AST",106437455.646855,0.849370513607885,"Scaled biomass index"
2003,"sablefish",18078837.457482,"COS","Sablefish COS",106437455.646855,0.169854092693319,"Scaled biomass index"
2004,"sablefish",17913411.6819728,"COS","Sablefish COS",106437455.646855,0.168299886286337,"Scaled biomass index"
2005,"sablefish",13580255.6032903,"COS","Sablefish COS",106437455.646855,0.127589066468741,"Scaled biomass index"
2006,"sablefish",16472716.8094763,"COS","Sablefish COS",106437455.646855,0.154764285836844,"Scaled biomass index"
2007,"sablefish",14650719.9016333,"COS","Sablefish COS",106437455.646855,0.137646280743899,"Scaled biomass index"
2008,"sablefish",9322190.10757682,"COS","Sablefish COS",106437455.646855,0.0875837368614538,"Scaled biomass index"
2009,"sablefish",8968141.46078023,"COS","Sablefish COS",106437455.646855,0.0842573829511228,"Scaled biomass index"
2010,"sablefish",6466247.70018533,"COS","Sablefish COS",106437455.646855,0.060751618505796,"Scaled biomass index"
2011,"sablefish",6891499.11436961,"COS","Sablefish COS",106437455.646855,0.0647469358647078,"Scaled biomass index"
2012,"sablefish",9352734.80554785,"COS","Sablefish COS",106437455.646855,0.0878707100682576,"Scaled biomass index"
2013,"sablefish",8639063.85374625,"COS","Sablefish COS",106437455.646855,0.0811656366759599,"Scaled biomass index"
2014,"sablefish",11067754.3114667,"COS","Sablefish COS",106437455.646855,0.103983642263941,"Scaled biomass index"
2015,"sablefish",14839994.9867073,"COS","Sablefish COS",106437455.646855,0.139424555918964,"Scaled biomass index"
2016,"sablefish",14513218.9883463,"COS","Sablefish COS",106437455.646855,0.136354433692018,"Scaled biomass index"
2017,"sablefish",15439455.5961904,"COS","Sablefish COS",106437455.646855,0.145056601572818,"Scaled biomass index"
2018,"sablefish",15731695.7708317,"COS","Sablefish COS",106437455.646855,0.147802253212697,"Scaled biomass index"
2019,"sablefish",15527338.5427515,"COS","Sablefish COS",106437455.646855,0.145882278455332,"Scaled biomass index"
2021,"sablefish",19196745.920502,"COS","Sablefish COS",106437455.646855,0.180357053857001,"Scaled biomass index"
2022,"sablefish",23703137.5772443,"COS","Sablefish COS",106437455.646855,0.222695454651679,"Scaled biomass index"
2023,"sablefish",27143754.1061812,"COS","Sablefish COS",106437455.646855,0.255020696814103,"Scaled biomass index"
2024,"sablefish",29152570.7283609,"COS","Sablefish COS",106437455.646855,0.27389390841026,"Scaled biomass index"
2003,"sablefish",12007770.4357467,"BRK","Sablefish BRK",106437455.646855,0.112815271304369,"Scaled biomass index"
2004,"sablefish",18892536.6320415,"BRK","Sablefish BRK",106437455.646855,0.177498950132032,"Scaled biomass index"
2005,"sablefish",20026924.0391157,"BRK","Sablefish BRK",106437455.646855,0.188156734087691,"Scaled biomass index"
2006,"sablefish",19272952.3362159,"BRK","Sablefish BRK",106437455.646855,0.181073027526709,"Scaled biomass index"
2007,"sablefish",12670496.423745,"BRK","Sablefish BRK",106437455.646855,0.11904170713911,"Scaled biomass index"
2008,"sablefish",12539161.0578804,"BRK","Sablefish BRK",106437455.646855,0.11780778656983,"Scaled biomass index"
2009,"sablefish",8706505.14945082,"BRK","Sablefish BRK",106437455.646855,0.0817992603876007,"Scaled biomass index"
2010,"sablefish",11574989.5462661,"BRK","Sablefish BRK",106437455.646855,0.108749213102861,"Scaled biomass index"
2011,"sablefish",10580921.0284132,"BRK","Sablefish BRK",106437455.646855,0.0994097516152514,"Scaled biomass index"
2012,"sablefish",13248245.3660997,"BRK","Sablefish BRK",106437455.646855,0.124469767579334,"Scaled biomass index"
2013,"sablefish",14690385.9809658,"BRK","Sablefish BRK",106437455.646855,0.138018951051466,"Scaled biomass index"
2014,"sablefish",12406151.8644933,"BRK","Sablefish BRK",106437455.646855,0.116558140074817,"Scaled biomass index"
2015,"sablefish",18620271.5602237,"BRK","Sablefish BRK",106437455.646855,0.174940968356132,"Scaled biomass index"
2016,"sablefish",14582210.4650405,"BRK","Sablefish BRK",106437455.646855,0.137002621646859,"Scaled biomass index"
2017,"sablefish",15770859.0238171,"BRK","Sablefish BRK",106437455.646855,0.148170199371757,"Scaled biomass index"
2018,"sablefish",16314595.1791008,"BRK","Sablefish BRK",106437455.646855,0.15327870325302,"Scaled biomass index"
2019,"sablefish",17907678.7313465,"BRK","Sablefish BRK",106437455.646855,0.168246024132348,"Scaled biomass index"
2021,"sablefish",21658802.201186,"BRK","Sablefish BRK",106437455.646855,0.203488537653952,"Scaled biomass index"
2022,"sablefish",28573920.6828838,"BRK","Sablefish BRK",106437455.646855,0.268457381935999,"Scaled biomass index"
2023,"sablefish",31617890.9658161,"BRK","Sablefish BRK",106437455.646855,0.297056057697582,"Scaled biomass index"
2024,"sablefish",25548124.0627544,"BRK","Sablefish BRK",106437455.646855,0.240029451169141,"Scaled biomass index"
2003,"sablefish",11555881.1437128,"CRS","Sablefish CRS",106437455.646855,0.108569686051625,"Scaled biomass index"
2004,"sablefish",17464646.4169637,"CRS","Sablefish CRS",106437455.646855,0.164083651857565,"Scaled biomass index"
2005,"sablefish",19220847.1199046,"CRS","Sablefish CRS",106437455.646855,0.180583489177688,"Scaled biomass index"
2006,"sablefish",19630470.6116141,"CRS","Sablefish CRS",106437455.646855,0.184431979253106,"Scaled biomass index"
2007,"sablefish",12538794.1844194,"CRS","Sablefish CRS",106437455.646855,0.117804339724368,"Scaled biomass index"
2008,"sablefish",11301301.1710771,"CRS","Sablefish CRS",106437455.646855,0.10617785912295,"Scaled biomass index"
2009,"sablefish",8807448.72855032,"CRS","Sablefish CRS",106437455.646855,0.0827476443797399,"Scaled biomass index"
2010,"sablefish",11920121.4465759,"CRS","Sablefish CRS",106437455.646855,0.111991792495728,"Scaled biomass index"
2011,"sablefish",11068785.4447089,"CRS","Sablefish CRS",106437455.646855,0.103993329955515,"Scaled biomass index"
2012,"sablefish",13747832.9449914,"CRS","Sablefish CRS",106437455.646855,0.12916348724649,"Scaled biomass index"
2013,"sablefish",14829335.6890521,"CRS","Sablefish CRS",106437455.646855,0.139324409804137,"Scaled biomass index"
2014,"sablefish",11942255.9152178,"CRS","Sablefish CRS",106437455.646855,0.112199750009438,"Scaled biomass index"
2015,"sablefish",16359453.4539852,"CRS","Sablefish CRS",106437455.646855,0.153700155218513,"Scaled biomass index"
2016,"sablefish",13475811.7446655,"CRS","Sablefish CRS",106437455.646855,0.12660779668932,"Scaled biomass index"
2017,"sablefish",16228167.2807231,"CRS","Sablefish CRS",106437455.646855,0.152466696823024,"Scaled biomass index"
2018,"sablefish",16127546.4503731,"CRS","Sablefish CRS",106437455.646855,0.151521345116348,"Scaled biomass index"
2019,"sablefish",18321188.5868944,"CRS","Sablefish CRS",106437455.646855,0.172131027330093,"Scaled biomass index"
2021,"sablefish",22438808.7329786,"CRS","Sablefish CRS",106437455.646855,0.210816846349911,"Scaled biomass index"
2022,"sablefish",27101798.3546187,"CRS","Sablefish CRS",106437455.646855,0.254626514603456,"Scaled biomass index"
2023,"sablefish",31365878.0464694,"CRS","Sablefish CRS",106437455.646855,0.294688348719431,"Scaled biomass index"
2024,"sablefish",25353069.4635958,"CRS","Sablefish CRS",106437455.646855,0.238196876367599,"Scaled biomass index"
2003,"sablefish",15086866.2883,"ERK","Sablefish ERK",106437455.646855,0.141743958427155,"Scaled biomass index"
2004,"sablefish",17679041.3165427,"ERK","Sablefish ERK",106437455.646855,0.166097932434606,"Scaled biomass index"
2005,"sablefish",21006632.117509,"ERK","Sablefish ERK",106437455.646855,0.197361276534137,"Scaled biomass index"
2006,"sablefish",24590689.0448798,"ERK","Sablefish ERK",106437455.646855,0.231034168333264,"Scaled biomass index"
2007,"sablefish",17407018.6728166,"ERK","Sablefish ERK",106437455.646855,0.163542228316418,"Scaled biomass index"
2008,"sablefish",12078655.6080336,"ERK","Sablefish ERK",106437455.646855,0.113481250886989,"Scaled biomass index"
2009,"sablefish",11339250.7605539,"ERK","Sablefish ERK",106437455.646855,0.106534402684108,"Scaled biomass index"
2010,"sablefish",14501656.2415463,"ERK","Sablefish ERK",106437455.646855,0.136245799501829,"Scaled biomass index"
2011,"sablefish",17457559.4364584,"ERK","Sablefish ERK",106437455.646855,0.16401706833711,"Scaled biomass index"
2012,"sablefish",17764377.5254077,"ERK","Sablefish ERK",106437455.646855,0.166899682235429,"Scaled biomass index"
2013,"sablefish",18721548.6079298,"ERK","Sablefish ERK",106437455.646855,0.175892485348816,"Scaled biomass index"
2014,"sablefish",15308013.338556,"ERK","Sablefish ERK",106437455.646855,0.14382167673517,"Scaled biomass index"
2015,"sablefish",18393753.458445,"ERK","Sablefish ERK",106437455.646855,0.172812788004562,"Scaled biomass index"
2016,"sablefish",15356717.7864931,"ERK","Sablefish ERK",106437455.646855,0.144279264222968,"Scaled biomass index"
2017,"sablefish",22151878.4893103,"ERK","Sablefish ERK",106437455.646855,0.208121082514479,"Scaled biomass index"
2018,"sablefish",20077482.3752954,"ERK","Sablefish ERK",106437455.646855,0.188631739205696,"Scaled biomass index"
2019,"sablefish",23998951.5842947,"ERK","Sablefish ERK",106437455.646855,0.225474683122076,"Scaled biomass index"
2021,"sablefish",25013824.1253893,"ERK","Sablefish ERK",106437455.646855,0.235009602337561,"Scaled biomass index"
2022,"sablefish",30576711.4275451,"ERK","Sablefish ERK",106437455.646855,0.287273979274687,"Scaled biomass index"
2023,"sablefish",35569497.0426058,"ERK","Sablefish ERK",106437455.646855,0.334182143179188,"Scaled biomass index"
2024,"sablefish",29417121.4973074,"ERK","Sablefish ERK",106437455.646855,0.276379412853585,"Scaled biomass index"
2003,"sablefish",12032478.2903161,"BRG","Sablefish BRG",106437455.646855,0.113047406264935,"Scaled biomass index"
2004,"sablefish",14477667.370672,"BRG","Sablefish BRG",106437455.646855,0.136020419528882,"Scaled biomass index"
2005,"sablefish",13936112.1001986,"BRG","Sablefish BRG",106437455.646855,0.130932405472344,"Scaled biomass index"
2006,"sablefish",15814761.5827256,"BRG","Sablefish BRG",106437455.646855,0.148582672205137,"Scaled biomass index"
2007,"sablefish",14796238.4983245,"BRG","Sablefish BRG",106437455.646855,0.139013455445763,"Scaled biomass index"
2008,"sablefish",9430732.1511568,"BRG","Sablefish BRG",106437455.646855,0.0886035098626058,"Scaled biomass index"
2009,"sablefish",13189187.2391831,"BRG","Sablefish BRG",106437455.646855,0.123914905321892,"Scaled biomass index"
2010,"sablefish",8796775.00795908,"BRG","Sablefish BRG",106437455.646855,0.0826473627587037,"Scaled biomass index"
2011,"sablefish",17711541.7698656,"BRG","Sablefish BRG",106437455.646855,0.166403280332348,"Scaled biomass index"
2012,"sablefish",14080815.4860904,"BRG","Sablefish BRG",106437455.646855,0.132291921114768,"Scaled biomass index"
2013,"sablefish",16614541.3219094,"BRG","Sablefish BRG",106437455.646855,0.156096753919354,"Scaled biomass index"
2014,"sablefish",14986471.0615425,"BRG","Sablefish BRG",106437455.646855,0.140800726308843,"Scaled biomass index"
2015,"sablefish",16602245.8102308,"BRG","Sablefish BRG",106437455.646855,0.155981235264725,"Scaled biomass index"
2016,"sablefish",17291724.7516518,"BRG","Sablefish BRG",106437455.646855,0.162459020150044,"Scaled biomass index"
2017,"sablefish",19363024.2934302,"BRG","Sablefish BRG",106437455.646855,0.181919270577775,"Scaled biomass index"
2018,"sablefish",16595456.9633753,"BRG","Sablefish BRG",106437455.646855,0.155917452766221,"Scaled biomass index"
2019,"sablefish",17645167.6604177,"BRG","Sablefish BRG",106437455.646855,0.165779683037163,"Scaled biomass index"
2021,"sablefish",21654521.8853015,"BRG","Sablefish BRG",106437455.646855,0.20344832327774,"Scaled biomass index"
2022,"sablefish",32967342.7224364,"BRG","Sablefish BRG",106437455.646855,0.309734411839169,"Scaled biomass index"
2023,"sablefish",36714506.4557487,"BRG","Sablefish BRG",106437455.646855,0.344939722888176,"Scaled biomass index"
2024,"sablefish",31463849.1765417,"BRG","Sablefish BRG",106437455.646855,0.295608805991515,"Scaled biomass index"
2003,"sablefish",9039224.78154771,"MRO","Sablefish MRO",106437455.646855,0.0849252241761453,"Scaled biomass index"
2004,"sablefish",12172781.7525639,"MRO","Sablefish MRO",106437455.646855,0.114365583793655,"Scaled biomass index"
2005,"sablefish",13164324.6942994,"MRO","Sablefish MRO",106437455.646855,0.123681317016603,"Scaled biomass index"
2006,"sablefish",12296998.3922584,"MRO","Sablefish MRO",106437455.646855,0.115532622585964,"Scaled biomass index"
2007,"sablefish",15560492.2593017,"MRO","Sablefish MRO",106437455.646855,0.146193763884485,"Scaled biomass index"
2008,"sablefish",11492046.8715127,"MRO","Sablefish MRO",106437455.646855,0.107969951007113,"Scaled biomass index"
2009,"sablefish",10209301.1286254,"MRO","Sablefish MRO",106437455.646855,0.0959183124641619,"Scaled biomass index"
2010,"sablefish",7398621.30874118,"MRO","Sablefish MRO",106437455.646855,0.069511444667456,"Scaled biomass index"
2011,"sablefish",9424660.37807762,"MRO","Sablefish MRO",106437455.646855,0.0885464644076737,"Scaled biomass index"
2012,"sablefish",6581239.11473534,"MRO","Sablefish MRO",106437455.646855,0.0618319845653863,"Scaled biomass index"
2013,"sablefish",12240411.1903562,"MRO","Sablefish MRO",106437455.646855,0.115000975135747,"Scaled biomass index"
2014,"sablefish",7949022.27807576,"MRO","Sablefish MRO",106437455.646855,0.0746825657355952,"Scaled biomass index"
2015,"sablefish",6269502.29619676,"MRO","Sablefish MRO",106437455.646855,0.0589031582735133,"Scaled biomass index"
2016,"sablefish",8504495.18923337,"MRO","Sablefish MRO",106437455.646855,0.079901338655164,"Scaled biomass index"
2017,"sablefish",7319589.61259096,"MRO","Sablefish MRO",106437455.646855,0.0687689269544017,"Scaled biomass index"
2018,"sablefish",9218658.05701057,"MRO","Sablefish MRO",106437455.646855,0.0866110336909669,"Scaled biomass index"
2019,"sablefish",11225335.8206938,"MRO","Sablefish MRO",106437455.646855,0.105464150307556,"Scaled biomass index"
2021,"sablefish",11336608.210155,"MRO","Sablefish MRO",106437455.646855,0.106509575423977,"Scaled biomass index"
2022,"sablefish",15172766.093458,"MRO","Sablefish MRO",106437455.646855,0.142551003321604,"Scaled biomass index"
2023,"sablefish",12748236.6731219,"MRO","Sablefish MRO",106437455.646855,0.119772091465797,"Scaled biomass index"
2024,"sablefish",12287554.5553895,"MRO","Sablefish MRO",106437455.646855,0.115443895954803,"Scaled biomass index"
2003,"Dover sole",55285609.2569736,"BLL","Dover sole BLL",139436824.981316,0.39649216958563,"Scaled biomass index"
2004,"Dover sole",52563885.4637476,"BLL","Dover sole BLL",139436824.981316,0.376972765055365,"Scaled biomass index"
2005,"Dover sole",39933131.5334982,"BLL","Dover sole BLL",139436824.981316,0.286388703549791,"Scaled biomass index"
2006,"Dover sole",40606607.3537502,"BLL","Dover sole BLL",139436824.981316,0.291218674544485,"Scaled biomass index"
2007,"Dover sole",38086662.719417,"BLL","Dover sole BLL",139436824.981316,0.273146370942687,"Scaled biomass index"
2008,"Dover sole",37886192.3689843,"BLL","Dover sole BLL",139436824.981316,0.271708656404511,"Scaled biomass index"
2009,"Dover sole",29349253.4200014,"BLL","Dover sole BLL",139436824.981316,0.210484234877939,"Scaled biomass index"
2010,"Dover sole",33025461.3422854,"BLL","Dover sole BLL",139436824.981316,0.236848919549844,"Scaled biomass index"
2011,"Dover sole",37859889.3692581,"BLL","Dover sole BLL",139436824.981316,0.271520019007398,"Scaled biomass index"
2012,"Dover sole",34360340.9127121,"BLL","Dover sole BLL",139436824.981316,0.246422284194411,"Scaled biomass index"
2013,"Dover sole",43076174.5098173,"BLL","Dover sole BLL",139436824.981316,0.30892968565219,"Scaled biomass index"
2014,"Dover sole",36640492.2574688,"BLL","Dover sole BLL",139436824.981316,0.262774860675281,"Scaled biomass index"
2015,"Dover sole",30225984.3359297,"BLL","Dover sole BLL",139436824.981316,0.216771891786692,"Scaled biomass index"
2016,"Dover sole",34092282.08723,"BLL","Dover sole BLL",139436824.981316,0.24449984494267,"Scaled biomass index"
2017,"Dover sole",36298769.8051443,"BLL","Dover sole BLL",139436824.981316,0.26032412750368,"Scaled biomass index"
2018,"Dover sole",40324408.5901388,"BLL","Dover sole BLL",139436824.981316,0.289194827804938,"Scaled biomass index"
2019,"Dover sole",32018937.5946478,"BLL","Dover sole BLL",139436824.981316,0.229630426531429,"Scaled biomass index"
2021,"Dover sole",35425665.4267797,"BLL","Dover sole BLL",139436824.981316,0.25406247905836,"Scaled biomass index"
2022,"Dover sole",43078097.0658949,"BLL","Dover sole BLL",139436824.981316,0.308943473660328,"Scaled biomass index"
2023,"Dover sole",41448864.680656,"BLL","Dover sole BLL",139436824.981316,0.297259096986826,"Scaled biomass index"
2024,"Dover sole",36959070.509239,"BLL","Dover sole BLL",139436824.981316,0.265059610430684,"Scaled biomass index"
2003,"Dover sole",104018786.769668,"AST","Dover sole AST",139436824.981316,0.745992221090848,"Scaled biomass index"
2004,"Dover sole",101053086.040658,"AST","Dover sole AST",139436824.981316,0.72472308555648,"Scaled biomass index"
2005,"Dover sole",95894331.0536931,"AST","Dover sole AST",139436824.981316,0.687726008294744,"Scaled biomass index"
2006,"Dover sole",110135188.505696,"AST","Dover sole AST",139436824.981316,0.789857259877033,"Scaled biomass index"
2007,"Dover sole",93662412.0309179,"AST","Dover sole AST",139436824.981316,0.671719339876453,"Scaled biomass index"
2008,"Dover sole",99812046.6665859,"AST","Dover sole AST",139436824.981316,0.7158227152688,"Scaled biomass index"
2009,"Dover sole",98256544.3412287,"AST","Dover sole AST",139436824.981316,0.704667108953427,"Scaled biomass index"
2010,"Dover sole",106211303.249936,"AST","Dover sole AST",139436824.981316,0.761716306034423,"Scaled biomass index"
2011,"Dover sole",103243510.203321,"AST","Dover sole AST",139436824.981316,0.740432165012043,"Scaled biomass index"
2012,"Dover sole",89054455.6444396,"AST","Dover sole AST",139436824.981316,0.638672428580991,"Scaled biomass index"
2013,"Dover sole",101828591.046361,"AST","Dover sole AST",139436824.981316,0.73028477993533,"Scaled biomass index"
2014,"Dover sole",92277475.87411,"AST","Dover sole AST",139436824.981316,0.661786984080246,"Scaled biomass index"
2015,"Dover sole",116992961.768215,"AST","Dover sole AST",139436824.981316,0.839039197743438,"Scaled biomass index"
2016,"Dover sole",114958603.604465,"AST","Dover sole AST",139436824.981316,0.824449377844547,"Scaled biomass index"
2017,"Dover sole",98983761.0431821,"AST","Dover sole AST",139436824.981316,0.709882493784879,"Scaled biomass index"
2018,"Dover sole",113426121.755856,"AST","Dover sole AST",139436824.981316,0.813458867634533,"Scaled biomass index"
2019,"Dover sole",104030898.885033,"AST","Dover sole AST",139436824.981316,0.746079085628726,"Scaled biomass index"
2021,"Dover sole",107146990.544637,"AST","Dover sole AST",139436824.981316,0.768426780794774,"Scaled biomass index"
2022,"Dover sole",139436824.981316,"AST","Dover sole AST",139436824.981316,1,"Scaled biomass index"
2023,"Dover sole",109911643.142725,"AST","Dover sole AST",139436824.981316,0.788254058118813,"Scaled biomass index"
2024,"Dover sole",102515770.630746,"AST","Dover sole AST",139436824.981316,0.735213030305894,"Scaled biomass index"
2003,"Dover sole",48887928.4056788,"COS","Dover sole COS",139436824.981316,0.350609879508011,"Scaled biomass index"
2004,"Dover sole",42713033.9661267,"COS","Dover sole COS",139436824.981316,0.306325348213072,"Scaled biomass index"
2005,"Dover sole",42672523.7529861,"COS","Dover sole COS",139436824.981316,0.306034820849543,"Scaled biomass index"
2006,"Dover sole",41948848.2272264,"COS","Dover sole COS",139436824.981316,0.300844832294822,"Scaled biomass index"
2007,"Dover sole",55497785.705884,"COS","Dover sole COS",139436824.981316,0.398013836827686,"Scaled biomass index"
2008,"Dover sole",38374627.0169488,"COS","Dover sole COS",139436824.981316,0.275211566399987,"Scaled biomass index"
2009,"Dover sole",45867223.3075632,"COS","Dover sole COS",139436824.981316,0.328946268775909,"Scaled biomass index"
2010,"Dover sole",30624199.5381502,"COS","Dover sole COS",139436824.981316,0.219627774386384,"Scaled biomass index"
2011,"Dover sole",27992132.4993441,"COS","Dover sole COS",139436824.981316,0.200751361794813,"Scaled biomass index"
2012,"Dover sole",35947152.7254632,"COS","Dover sole COS",139436824.981316,0.257802432967618,"Scaled biomass index"
2013,"Dover sole",35320426.4381044,"COS","Dover sole COS",139436824.981316,0.253307735907191,"Scaled biomass index"
2014,"Dover sole",41480804.8966118,"COS","Dover sole COS",139436824.981316,0.297488162844859,"Scaled biomass index"
2015,"Dover sole",39498769.490124,"COS","Dover sole COS",139436824.981316,0.28327358641031,"Scaled biomass index"
2016,"Dover sole",39175329.5167066,"COS","Dover sole COS",139436824.981316,0.280953969813613,"Scaled biomass index"
2017,"Dover sole",45518358.3870672,"COS","Dover sole COS",139436824.981316,0.326444311918079,"Scaled biomass index"
2018,"Dover sole",51199667.3364645,"COS","Dover sole COS",139436824.981316,0.367188992888537,"Scaled biomass index"
2019,"Dover sole",38917716.0927411,"COS","Dover sole COS",139436824.981316,0.279106441917019,"Scaled biomass index"
2021,"Dover sole",51882435.177564,"COS","Dover sole COS",139436824.981316,0.372085603530603,"Scaled biomass index"
2022,"Dover sole",58399370.9726764,"COS","Dover sole COS",139436824.981316,0.41882315507759,"Scaled biomass index"
2023,"Dover sole",49792252.2368472,"COS","Dover sole COS",139436824.981316,0.3570954247095,"Scaled biomass index"
2024,"Dover sole",49771122.0939675,"COS","Dover sole COS",139436824.981316,0.356943885524048,"Scaled biomass index"
2003,"Dover sole",49049624.8765943,"BRK","Dover sole BRK",139436824.981316,0.351769519157991,"Scaled biomass index"
2004,"Dover sole",58652129.8114246,"BRK","Dover sole BRK",139436824.981316,0.420635867313272,"Scaled biomass index"
2005,"Dover sole",58768351.8102455,"BRK","Dover sole BRK",139436824.981316,0.421469377390946,"Scaled biomass index"
2006,"Dover sole",50815625.1167299,"BRK","Dover sole BRK",139436824.981316,0.364434754761084,"Scaled biomass index"
2007,"Dover sole",59120461.5682811,"BRK","Dover sole BRK",139436824.981316,0.423994605271621,"Scaled biomass index"
2008,"Dover sole",57846505.5551256,"BRK","Dover sole BRK",139436824.981316,0.414858166505706,"Scaled biomass index"
2009,"Dover sole",46170485.2995081,"BRK","Dover sole BRK",139436824.981316,0.331121174809415,"Scaled biomass index"
2010,"Dover sole",44839304.8647216,"BRK","Dover sole BRK",139436824.981316,0.321574339280387,"Scaled biomass index"
2011,"Dover sole",45891658.6245005,"BRK","Dover sole BRK",139436824.981316,0.329121511700011,"Scaled biomass index"
2012,"Dover sole",58411948.5156598,"BRK","Dover sole BRK",139436824.981316,0.418913357525796,"Scaled biomass index"
2013,"Dover sole",71653221.8046582,"BRK","Dover sole BRK",139436824.981316,0.513875884754688,"Scaled biomass index"
2014,"Dover sole",57696668.061622,"BRK","Dover sole BRK",139436824.981316,0.413783575962471,"Scaled biomass index"
2015,"Dover sole",63367328.7691251,"BRK","Dover sole BRK",139436824.981316,0.454451890866105,"Scaled biomass index"
2016,"Dover sole",55067667.7455365,"BRK","Dover sole BRK",139436824.981316,0.394929157006518,"Scaled biomass index"
2017,"Dover sole",73800549.4202259,"BRK","Dover sole BRK",139436824.981316,0.529275888418393,"Scaled biomass index"
