year,timeseries,index,SElo,SEup,metric
2015,Salps,98.41025641,67.00348032,129.8170325,abundance index and 95% CI
2016,Salps,NA,NA,NA,abundance index and 95% CI
2017,Salps,35.07692308,22.49974516,47.65410099,abundance index and 95% CI
2018,Salps,27.40625,19.99170194,34.82079806,abundance index and 95% CI
2019,Salps,2.285714286,1.794025114,2.777403458,abundance index and 95% CI
2021,Salps,1949.625,1429.757571,2469.492429,abundance index and 95% CI
2022,Salps,NA,NA,NA,abundance index and 95% CI
2023,Salps,4734.666667,3675.141074,5794.192259,abundance index and 95% CI
2024,Salps,0.565217391,0.245718729,0.884716053,abundance index and 95% CI
2011,YOY Sanddabs,3.598039216,2.869730979,4.326347452,abundance index and 95% CI
2013,YOY Sanddabs,2.906976744,2.017258214,3.796695274,abundance index and 95% CI
2014,YOY Sanddabs,6.25,4.407652033,8.092347967,abundance index and 95% CI
2015,YOY Sanddabs,19.17948718,13.44599162,24.91298274,abundance index and 95% CI
2016,YOY Sanddabs,1.586956522,1.275227532,1.898685512,abundance index and 95% CI
2017,YOY Sanddabs,4.615384615,2.953062863,6.277706368,abundance index and 95% CI
2018,YOY Sanddabs,6.96875,4.650134775,9.287365225,abundance index and 95% CI
2019,YOY Sanddabs,9.823529412,7.012654621,12.6344042,abundance index and 95% CI
2021,YOY Sanddabs,5.583333333,4.38412365,6.782543017,abundance index and 95% CI
2022,YOY Sanddabs,1.321428571,1,1.642857143,abundance index and 95% CI
2023,YOY Sanddabs,5.666666667,3.740806548,7.592526786,abundance index and 95% CI
2024,YOY Sanddabs,1.043478261,0.752111976,1.334844545,abundance index and 95% CI
2011,P. jordani,467.4019608,142.8432328,791.9606888,abundance index and 95% CI
2013,P. jordani,139.2325581,51.44237589,227.0227404,abundance index and 95% CI
2014,P. jordani,436.4166667,169.0963328,703.7370006,abundance index and 95% CI
2015,P. jordani,2.794871795,0.955073543,4.634670047,abundance index and 95% CI
2016,P. jordani,0.5,0,1,abundance index and 95% CI
2017,P. jordani,0,0,0,abundance index and 95% CI
2018,P. jordani,0,0,0,abundance index and 95% CI
2019,P. jordani,0,0,0,abundance index and 95% CI
2021,P. jordani,459.9166667,81.56421751,838.2691158,abundance index and 95% CI
2022,P. jordani,136.6428571,9.015845872,264.2698684,abundance index and 95% CI
2023,P. jordani,0.416666667,0,0.833333333,abundance index and 95% CI
2024,P. jordani,11.60869565,3.515918623,19.70147268,abundance index and 95% CI
2011,Herring,0.019607843,0,0.039215686,abundance index and 95% CI
2013,Herring,0.046511628,0,0.093023256,abundance index and 95% CI
2014,Herring,0.916666667,0.37422217,1.459111163,abundance index and 95% CI
2015,Herring,0.564102564,0.332360724,0.795844404,abundance index and 95% CI
2016,Herring,0.413043478,0.064719559,0.761367397,abundance index and 95% CI
2017,Herring,0.153846154,0,0.307692308,abundance index and 95% CI
2018,Herring,4.53125,0.98717715,8.07532285,abundance index and 95% CI
2019,Herring,0.029411765,0,0.058823529,abundance index and 95% CI
2021,Herring,0.25,0.039324757,0.460675243,abundance index and 95% CI
2022,Herring,13.60714286,2.450212811,24.7640729,abundance index and 95% CI
2023,Herring,2.083333333,0.799491913,3.367174754,abundance index and 95% CI
2024,Herring,22.34782609,2.313309558,42.38234262,abundance index and 95% CI
2011,Total Krill,27264.17647,23488.36574,31039.9872,abundance index and 95% CI
2013,Total Krill,77357.5814,50199.90634,104515.2564,abundance index and 95% CI
2014,Total Krill,79438.25,50213.16026,108663.3397,abundance index and 95% CI
2015,Total Krill,249.8205128,170.5747866,329.066239,abundance index and 95% CI
2016,Total Krill,215.0869565,151.0072671,279.1666459,abundance index and 95% CI
2017,Total Krill,28365.53846,15806.87331,40924.20361,abundance index and 95% CI
2018,Total Krill,440.59375,265.6064644,615.5810356,abundance index and 95% CI
2019,Total Krill,433.7058824,268.609964,598.8018007,abundance index and 95% CI
2021,Total Krill,52143.45833,29008.40844,75278.50822,abundance index and 95% CI
2022,Total Krill,8572.714286,6134.408796,11011.01978,abundance index and 95% CI
2023,Total Krill,16580.58333,3983.677702,29177.48896,abundance index and 95% CI
2024,Total Krill,13396.82609,5554.416451,21239.23572,abundance index and 95% CI
2011,Whitebait Smelt,3.656862745,1.104271091,6.209454399,abundance index and 95% CI
2013,Whitebait Smelt,34.1627907,0.214032323,68.11154907,abundance index and 95% CI
2014,Whitebait Smelt,1.75,0.710025183,2.789974817,abundance index and 95% CI
2015,Whitebait Smelt,2.487179487,0.426405228,4.547953746,abundance index and 95% CI
2016,Whitebait Smelt,4.065217391,0,8.130434783,abundance index and 95% CI
2017,Whitebait Smelt,0,0,0,abundance index and 95% CI
2018,Whitebait Smelt,1.375,0.401821387,2.348178613,abundance index and 95% CI
2019,Whitebait Smelt,0.382352941,0.108687956,0.656017926,abundance index and 95% CI
2021,Whitebait Smelt,0,0,0,abundance index and 95% CI
2022,Whitebait Smelt,20,0.404149559,39.59585044,abundance index and 95% CI
2023,Whitebait Smelt,142.9583333,52.57387913,233.3427875,abundance index and 95% CI
2024,Whitebait Smelt,47.08695652,17.92027504,76.253638,abundance index and 95% CI
