year,index,metric,order,timeseries,,,,,,,,,,,,,,,,,
2009,0.06,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2010,0.094,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2011,NA,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2012,NA,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2013,0.086,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2014,NA,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2015,0,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2016,0.107,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2017,0.049,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2018,0.293,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2019,0.59,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2020,NA,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2021,0.124,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2022,0.313,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2023,0.561,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2024,0.423,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2008,0.014,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2009,0.019,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2010,0.002,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2011,NA,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2012,NA,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2013,0.023,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2014,NA,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2015,0,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2016,0.126,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2017,0.268,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2018,0,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2019,0.135,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2020,NA,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2021,0.615,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2022,0.032,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2023,0.145,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2024,0.157,% auklet chick diet,5,Sandlance (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
