*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-02-24 00:41:15"
*GLOBAL*,title,"Euphausia pacifica (krill) lengths and biomass Trinidad Line Stations TH04, TH05"
*GLOBAL*,institution,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,summary,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,contributor_name,"Bjorkstedt"
*GLOBAL*,contributor_email,"eric.bjorkstedt@noaa.gov"
time,*DATA_TYPE*,String
time,units,"yyyy-MM-dd"
index,*DATA_TYPE*,float
index,units,"mg c m2"
index,long_name,"Krill Body Length and Biomass Measurements"
timeseries,*DATA_TYPE*,String
SEup,*DATA_TYPE*,float
SElo,*DATA_TYPE*,float
*END_METADATA*
"time","index","timeseries","SEup","SElo"
"13825-01",15.16,"Euphausia pacifica (krill) mean length",15.38,14.94
"13825-01",14.54,"Euphausia pacifica (krill) mean length",14.93,14.15
"13825-01",14.12,"Euphausia pacifica (krill) mean length",14.63,13.61
"13825-01",14.45,"Euphausia pacifica (krill) mean length",14.7,14.2
"13825-01",12.85,"Euphausia pacifica (krill) mean length",13.15,12.56
"13825-01",11.43,"Euphausia pacifica (krill) mean length",11.75,11.11
"13825-01",11.06,"Euphausia pacifica (krill) mean length",11.33,10.78
"13825-01",11.52,"Euphausia pacifica (krill) mean length",11.74,11.29
"13825-01",10.64,"Euphausia pacifica (krill) mean length",10.88,10.41
"13825-01",12.75,"Euphausia pacifica (krill) mean length",13.07,12.43
"13825-01",7.46,"Euphausia pacifica (krill) mean length",7.66,7.26
"13825-01",12.75,"Euphausia pacifica (krill) mean length",13.12,12.39
"13825-01",10.21,"Euphausia pacifica (krill) mean length",10.48,9.94
"13825-01",12.59,"Euphausia pacifica (krill) mean length",13.06,12.13
"13825-01",11.23,"Euphausia pacifica (krill) mean length",11.52,10.94
"13825-01",10.91,"Euphausia pacifica (krill) mean length",11.13,10.68
"13825-01",10.62,"Euphausia pacifica (krill) mean length",10.89,10.36
"13825-01",13.11,"Euphausia pacifica (krill) mean length",13.32,12.89
"13825-01",13.67,"Euphausia pacifica (krill) mean length",13.83,13.51
"13825-01",15.16,"Euphausia pacifica (krill) mean length",15.42,14.89
"13825-01",13.31,"Euphausia pacifica (krill) mean length",13.65,12.98
"13825-01",14.8,"Euphausia pacifica (krill) mean length",15.09,14.51
"13825-01",10.09,"Euphausia pacifica (krill) mean length",NaN,NaN
"13825-01",11.02,"Euphausia pacifica (krill) mean length",11.22,10.83
"13825-01",14.29,"Euphausia pacifica (krill) mean length",14.72,13.86
"13825-01",10.48,"Euphausia pacifica (krill) mean length",10.9,10.06
"13825-01",11.76,"Euphausia pacifica (krill) mean length",12,11.52
"13825-01",11.6,"Euphausia pacifica (krill) mean length",11.84,11.37
"13825-01",11.52,"Euphausia pacifica (krill) mean length",11.79,11.25
"13825-01",11.13,"Euphausia pacifica (krill) mean length",11.35,10.92
"13825-01",11.06,"Euphausia pacifica (krill) mean length",11.23,10.89
"13825-01",13.27,"Euphausia pacifica (krill) mean length",13.47,13.07
"13825-01",12.06,"Euphausia pacifica (krill) mean length",12.47,11.65
"13825-01",11.21,"Euphausia pacifica (krill) mean length",11.55,10.86
"13825-01",13.43,"Euphausia pacifica (krill) mean length",13.75,13.11
"13825-01",11.7,"Euphausia pacifica (krill) mean length",12.45,10.95
"13825-01",12.2,"Euphausia pacifica (krill) mean length",12.47,11.94
"13825-01",12.15,"Euphausia pacifica (krill) mean length",12.38,11.92
"13825-01",11.44,"Euphausia pacifica (krill) mean length",12.06,10.82
"13825-01",11.94,"Euphausia pacifica (krill) mean length",12.25,11.63
"13825-01",11.22,"Euphausia pacifica (krill) mean length",11.46,10.99
"13825-01",14.46,"Euphausia pacifica (krill) mean length",14.67,14.26
"13825-01",11.38,"Euphausia pacifica (krill) mean length",12.02,10.74
"13825-01",12.56,"Euphausia pacifica (krill) mean length",13.02,12.09
"13825-01",11.21,"Euphausia pacifica (krill) mean length",11.59,10.82
"13825-01",13.51,"Euphausia pacifica (krill) mean length",13.92,13.1
"13825-01",12.71,"Euphausia pacifica (krill) mean length",13,12.41
"13825-01",12.9,"Euphausia pacifica (krill) mean length",13.19,12.62
"13825-01",9.14,"Euphausia pacifica (krill) mean length",9.37,8.91
"13825-01",9.8,"Euphausia pacifica (krill) mean length",10.06,9.54
"13825-01",10.65,"Euphausia pacifica (krill) mean length",11.44,9.85
"13825-01",13.23,"Euphausia pacifica (krill) mean length",13.71,12.75
"13825-01",15.28,"Euphausia pacifica (krill) mean length",15.62,14.94
"13825-01",13.38,"Euphausia pacifica (krill) mean length",14.74,12.02
"13825-01",12.94,"Euphausia pacifica (krill) mean length",13.22,12.66
"13825-01",12.31,"Euphausia pacifica (krill) mean length",13.54,11.08
"13825-01",2416.52,"Euphausia pacifica (krill) adult mean biomass",2519.25,2313.79
"13825-01",41.77,"Euphausia pacifica (krill) adult mean biomass",44.74,38.8
"13825-01",197.07,"Euphausia pacifica (krill) adult mean biomass",215.8,178.35
"13825-01",1287.13,"Euphausia pacifica (krill) adult mean biomass",1343.86,1230.39
"13825-01",116.29,"Euphausia pacifica (krill) adult mean biomass",123.61,108.97
"13825-01",3622.94,"Euphausia pacifica (krill) adult mean biomass",3779.86,3466.02
"13825-01",825.43,"Euphausia pacifica (krill) adult mean biomass",894.7,756.17
"13825-01",514.2,"Euphausia pacifica (krill) adult mean biomass",537.76,490.63
"13825-01",151.24,"Euphausia pacifica (krill) adult mean biomass",158.73,143.75
"13825-01",3773.49,"Euphausia pacifica (krill) adult mean biomass",3966.04,3580.94
"13825-01",1864.96,"Euphausia pacifica (krill) adult mean biomass",1948.03,1781.89
"13825-01",1802.77,"Euphausia pacifica (krill) adult mean biomass",1857.47,1748.08
"13825-01",1835.03,"Euphausia pacifica (krill) adult mean biomass",1885.22,1784.83
"13825-01",1291.92,"Euphausia pacifica (krill) adult mean biomass",1364.46,1219.39
"13825-01",2781.81,"Euphausia pacifica (krill) adult mean biomass",3145.23,2418.39
"13825-01",1128.3,"Euphausia pacifica (krill) adult mean biomass",1208.18,1048.42
"13825-01",409.43,"Euphausia pacifica (krill) adult mean biomass",425.02,393.84
"13825-01",256.58,"Euphausia pacifica (krill) adult mean biomass",274.53,238.63
"13825-01",29.59,"Euphausia pacifica (krill) adult mean biomass",36.03,23.16
"13825-01",319.26,"Euphausia pacifica (krill) adult mean biomass",353.22,285.31
"13825-01",116.25,"Euphausia pacifica (krill) adult mean biomass",122.34,110.16
"13825-01",518.63,"Euphausia pacifica (krill) adult mean biomass",551.24,486.02
"13825-01",2670.91,"Euphausia pacifica (krill) adult mean biomass",2818.38,2523.44
"13825-01",627.48,"Euphausia pacifica (krill) adult mean biomass",670.92,584.03
"13825-01",1983.4,"Euphausia pacifica (krill) adult mean biomass",2072.12,1894.67
"13825-01",265.98,"Euphausia pacifica (krill) adult mean biomass",297.61,234.35
"13825-01",513.48,"Euphausia pacifica (krill) adult mean biomass",558.19,468.78
"13825-01",662.83,"Euphausia pacifica (krill) adult mean biomass",705.47,620.18
"13825-01",207.74,"Euphausia pacifica (krill) adult mean biomass",226.3,189.18
"13825-01",978.54,"Euphausia pacifica (krill) adult mean biomass",1027.93,929.14
"13825-01",1503.47,"Euphausia pacifica (krill) adult mean biomass",1552.2,1454.75
"13825-01",190.6,"Euphausia pacifica (krill) adult mean biomass",199.93,181.27
"13825-01",131.6,"Euphausia pacifica (krill) adult mean biomass",137.38,125.83
"13825-01",80.08,"Euphausia pacifica (krill) adult mean biomass",85.56,74.59
"13825-01",2252.53,"Euphausia pacifica (krill) adult mean biomass",2322.3,2182.76
"13825-01",71.93,"Euphausia pacifica (krill) adult mean biomass",78.99,64.86
"13825-01",23.85,"Euphausia pacifica (krill) adult mean biomass",29.16,18.54
"13825-01",294.52,"Euphausia pacifica (krill) adult mean biomass",317.59,271.46
"13825-01",94.64,"Euphausia pacifica (krill) adult mean biomass",110.11,79.17
"13825-01",577.94,"Euphausia pacifica (krill) adult mean biomass",654.6,501.29
"13825-01",733.48,"Euphausia pacifica (krill) adult mean biomass",859.61,607.35
"13825-01",473.94,"Euphausia pacifica (krill) adult mean biomass",518.11,429.76
"13825-01",165,"Euphausia pacifica (krill) adult mean biomass",179.31,150.69
"13825-01",286.73,"Euphausia pacifica (krill) adult mean biomass",323.45,250.02
"13825-01",339.33,"Euphausia pacifica (krill) adult mean biomass",368.18,310.48
"13825-01",64.08,"Euphausia pacifica (krill) adult mean biomass",66.28,61.89
"13825-01",618.79,"Euphausia pacifica (krill) adult mean biomass",658.38,579.21
"13825-01",1849.3,"Euphausia pacifica (krill) adult mean biomass",1976.35,1722.25
"13825-01",123.67,"Euphausia pacifica (krill) adult mean biomass",136.38,110.95
"13825-01",997.83,"Euphausia pacifica (krill) adult mean biomass",1045.89,949.78
"13825-01",1021.45,"Euphausia pacifica (krill) adult mean biomass",1082.4,960.5
"13825-01",3161.54,"Euphausia pacifica (krill) adult mean biomass",3309.33,3013.75
"13825-01",17.43,"Euphausia pacifica (krill) adult mean biomass",21.17,13.69
"13825-01",233.73,"Euphausia pacifica (krill) adult mean biomass",267.85,199.61
"13825-01",1865.47,"Euphausia pacifica (krill) adult mean biomass",1995.97,1734.96
"13825-01",1385.63,"Euphausia pacifica (krill) adult mean biomass",1441.28,1329.98
"13825-01",1005.12,"Euphausia pacifica (krill) adult mean biomass",1048,962.25
"13825-01",836.66,"Euphausia pacifica (krill) adult mean biomass",911.41,761.92
"13825-01",114.34,"Euphausia pacifica (krill) adult mean biomass",128.52,100.17
"13825-01",57.32,"Euphausia pacifica (krill) adult mean biomass",66.5,48.14
"13825-01",265.97,"Euphausia pacifica (krill) adult mean biomass",288.06,243.89
"13825-01",280,"Euphausia pacifica (krill) adult mean biomass",292.82,267.19
"13825-01",423.85,"Euphausia pacifica (krill) adult mean biomass",444.29,403.42
"13825-01",2302.64,"Euphausia pacifica (krill) adult mean biomass",2389.14,2216.14
"13825-01",1756.18,"Euphausia pacifica (krill) adult mean biomass",1838.53,1673.83
"13825-01",562.27,"Euphausia pacifica (krill) adult mean biomass",698.04,426.51
"13825-01",252.99,"Euphausia pacifica (krill) adult mean biomass",362.3,143.68
"13825-01",185.5,"Euphausia pacifica (krill) adult mean biomass",229.93,141.07
"13825-01",400.47,"Euphausia pacifica (krill) adult mean biomass",437.2,363.75
"13825-01",200.31,"Euphausia pacifica (krill) adult mean biomass",209.14,191.48
"13825-01",83.8,"Euphausia pacifica (krill) adult mean biomass",88.43,79.18
"13825-01",52.04,"Euphausia pacifica (krill) adult mean biomass",55.09,48.99
"13825-01",690.11,"Euphausia pacifica (krill) adult mean biomass",709.9,670.31
"13825-01",1513.95,"Euphausia pacifica (krill) adult mean biomass",1615.72,1412.18
"13825-01",1033.36,"Euphausia pacifica (krill) adult mean biomass",1132.02,934.7
"13825-01",155.68,"Euphausia pacifica (krill) adult mean biomass",172.7,138.66
"13825-01",846.38,"Euphausia pacifica (krill) adult mean biomass",941.32,751.44
"13825-01",395.45,"Euphausia pacifica (krill) adult mean biomass",432.92,357.99
"13825-01",407.93,"Euphausia pacifica (krill) adult mean biomass",440.51,375.34
"13825-01",222.3,"Euphausia pacifica (krill) adult mean biomass",233.75,210.85
"13825-01",57.65,"Euphausia pacifica (krill) adult mean biomass",62.64,52.66
"13825-01",33.01,"Euphausia pacifica (krill) adult mean biomass",36.98,29.04
"13825-01",39.92,"Euphausia pacifica (krill) adult mean biomass",51.46,28.37
"13825-01",224.85,"Euphausia pacifica (krill) adult mean biomass",252.72,196.98
"13825-01",671.91,"Euphausia pacifica (krill) adult mean biomass",745.73,598.1
"13825-01",358.64,"Euphausia pacifica (krill) adult mean biomass",408.53,308.75
"13825-01",914.27,"Euphausia pacifica (krill) adult mean biomass",1016.21,812.32
"13825-01",352.48,"Euphausia pacifica (krill) adult mean biomass",424.31,280.64
"13825-01",633.24,"Euphausia pacifica (krill) adult mean biomass",680.67,585.81
"13825-01",354.83,"Euphausia pacifica (krill) adult mean biomass",384.44,325.21
"13825-01",279.47,"Euphausia pacifica (krill) adult mean biomass",298.77,260.18
"13825-01",303.32,"Euphausia pacifica (krill) adult mean biomass",321.33,285.3
"13825-01",153.34,"Euphausia pacifica (krill) adult mean biomass",159.58,147.11
"13825-01",108.9,"Euphausia pacifica (krill) adult mean biomass",120.05,97.75
"13825-01",911.76,"Euphausia pacifica (krill) adult mean biomass",996.02,827.49
"13825-01",778.72,"Euphausia pacifica (krill) adult mean biomass",823.79,733.66
"13825-01",701.35,"Euphausia pacifica (krill) adult mean biomass",740.24,662.45
"13825-01",231.11,"Euphausia pacifica (krill) adult mean biomass",249.79,212.43
"13825-01",192.25,"Euphausia pacifica (krill) adult mean biomass",207.15,177.35
"13825-01",987,"Euphausia pacifica (krill) adult mean biomass",1068.14,905.87
"13825-01",618.54,"Euphausia pacifica (krill) adult mean biomass",655.43,581.66
"13825-01",2208.23,"Euphausia pacifica (krill) adult mean biomass",2300.1,2116.35
"13825-01",3863.25,"Euphausia pacifica (krill) adult mean biomass",4013.89,3712.6
"13825-01",957.19,"Euphausia pacifica (krill) adult mean biomass",1024.72,889.67
"13825-01",486.22,"Euphausia pacifica (krill) adult mean biomass",534.12,438.32
"13825-01",773.73,"Euphausia pacifica (krill) adult mean biomass",810.76,736.7
"13825-01",339.32,"Euphausia pacifica (krill) adult mean biomass",364.03,314.61
"13825-01",405.5,"Euphausia pacifica (krill) adult mean biomass",447.96,363.04
"13825-01",151.67,"Euphausia pacifica (krill) adult mean biomass",164.85,138.49
"13825-01",410.78,"Euphausia pacifica (krill) adult mean biomass",436.22,385.34
"13825-01",309.42,"Euphausia pacifica (krill) adult mean biomass",328.76,290.07
"13825-01",477.02,"Euphausia pacifica (krill) adult mean biomass",507.06,446.97
"13825-01",63.33,"Euphausia pacifica (krill) adult mean biomass",68.56,58.1
"13825-01",1224.27,"Euphausia pacifica (krill) adult mean biomass",1319.96,1128.58
"13825-01",84.3,"Euphausia pacifica (krill) adult mean biomass",98.03,70.56
"13825-01",333.66,"Euphausia pacifica (krill) adult mean biomass",366.49,300.82
"13825-01",558.35,"Euphausia pacifica (krill) adult mean biomass",604.74,511.97
"13825-01",156.31,"Euphausia pacifica (krill) adult mean biomass",166.71,145.91
"13825-01",38.14,"Euphausia pacifica (krill) adult mean biomass",41.33,34.95
"13825-01",1004,"Euphausia pacifica (krill) adult mean biomass",1097.62,910.39
"13825-01",303.66,"Euphausia pacifica (krill) adult mean biomass",314.68,292.63
"13825-01",5162.29,"Euphausia pacifica (krill) adult mean biomass",5384.85,4939.73
"13825-01",881.43,"Euphausia pacifica (krill) adult mean biomass",956.26,806.61
"13825-01",1919.02,"Euphausia pacifica (krill) adult mean biomass",2025.74,1812.3
"13825-01",4.64,"Euphausia pacifica (krill) adult mean biomass",NaN,NaN
"13825-01",1291.61,"Euphausia pacifica (krill) adult mean biomass",1359.66,1223.55
"13825-01",545.02,"Euphausia pacifica (krill) adult mean biomass",587.3,502.74
"13825-01",44.69,"Euphausia pacifica (krill) adult mean biomass",52.44,36.94
"13825-01",1662.57,"Euphausia pacifica (krill) adult mean biomass",1772.55,1552.58
"13825-01",802.62,"Euphausia pacifica (krill) adult mean biomass",851.97,753.27
"13825-01",88.42,"Euphausia pacifica (krill) adult mean biomass",94.58,82.25
"13825-01",257.01,"Euphausia pacifica (krill) adult mean biomass",272.99,241.02
"13825-01",653.82,"Euphausia pacifica (krill) adult mean biomass",687.32,620.33
"13825-01",580.63,"Euphausia pacifica (krill) adult mean biomass",605.16,556.1
"13825-01",468.1,"Euphausia pacifica (krill) adult mean biomass",509.44,426.76
"13825-01",160.34,"Euphausia pacifica (krill) adult mean biomass",177.6,143.08
"13825-01",197.52,"Euphausia pacifica (krill) adult mean biomass",211.66,183.38
"13825-01",132.59,"Euphausia pacifica (krill) adult mean biomass",157.41,107.77
"13825-01",983.55,"Euphausia pacifica (krill) adult mean biomass",1047.96,919.13
"13825-01",253.43,"Euphausia pacifica (krill) adult mean biomass",268.92,237.93
"13825-01",39.77,"Euphausia pacifica (krill) adult mean biomass",47.22,32.33
"13825-01",103.91,"Euphausia pacifica (krill) adult mean biomass",111.59,96.22
"13825-01",460.3,"Euphausia pacifica (krill) adult mean biomass",488.68,431.93
"13825-01",981.26,"Euphausia pacifica (krill) adult mean biomass",1026.72,935.81
"13825-01",65.94,"Euphausia pacifica (krill) adult mean biomass",76.65,55.23
"13825-01",2007.91,"Euphausia pacifica (krill) adult mean biomass",2202.04,1813.77
"13825-01",207.4,"Euphausia pacifica (krill) adult mean biomass",231.6,183.2
"13825-01",647.54,"Euphausia pacifica (krill) adult mean biomass",702.44,592.64
"13825-01",1334,"Euphausia pacifica (krill) adult mean biomass",1427.63,1240.37
"13825-01",1039.74,"Euphausia pacifica (krill) adult mean biomass",1106.42,973.06
"13825-01",335.61,"Euphausia pacifica (krill) adult mean biomass",364.42,306.81
"13825-01",52.64,"Euphausia pacifica (krill) adult mean biomass",57.45,47.82
"13825-01",22.46,"Euphausia pacifica (krill) adult mean biomass",26.86,18.05
"13825-01",89.5,"Euphausia pacifica (krill) adult mean biomass",97.08,81.92
"13825-01",710.18,"Euphausia pacifica (krill) adult mean biomass",746.91,673.45
"13825-01",174.8,"Euphausia pacifica (krill) adult mean biomass",221.13,128.48
"13825-01",1046.73,"Euphausia pacifica (krill) adult mean biomass",1120.9,972.56
"13825-01",129.99,"Euphausia pacifica (krill) adult mean biomass",170.95,89.03
"13825-01",2585.21,"Euphausia pacifica (krill) total mean biomass",121.282329011251,2463.93
"13825-01",54.61,"Euphausia pacifica (krill) total mean biomass",3.57513865288031,51.04
"13825-01",206.03,"Euphausia pacifica (krill) total mean biomass",11.2571305829505,194.78
"13825-01",1301.75,"Euphausia pacifica (krill) total mean biomass",62.3841993685025,1239.36
"13825-01",0.51,"Euphausia pacifica (krill) total mean biomass",0.0589347775035894,0.45
"13825-01",118.6,"Euphausia pacifica (krill) total mean biomass",7.64422449399668,110.96
"13825-01",3642.04,"Euphausia pacifica (krill) total mean biomass",158.538612628777,3483.51
"13825-01",1243.51,"Euphausia pacifica (krill) total mean biomass",101.473765910532,1142.04
"13825-01",584.8,"Euphausia pacifica (krill) total mean biomass",28.8688953265379,555.93
"13825-01",157.42,"Euphausia pacifica (krill) total mean biomass",8.81157706756909,148.61
"13825-01",3838.98,"Euphausia pacifica (krill) total mean biomass",201.243766923035,3637.74
"13825-01",1900.14,"Euphausia pacifica (krill) total mean biomass",88.9305569029304,1811.21
"13825-01",1811.43,"Euphausia pacifica (krill) total mean biomass",55.6618344171658,1755.77
"13825-01",1849.82,"Euphausia pacifica (krill) total mean biomass",54.2247747940029,1795.59
"13825-01",1408.55,"Euphausia pacifica (krill) total mean biomass",105.037754990409,1303.51
"13825-01",4216.02,"Euphausia pacifica (krill) total mean biomass",499.732836014718,3716.28
"13825-01",2157.7,"Euphausia pacifica (krill) total mean biomass",151.199537373931,2006.5
"13825-01",485.37,"Euphausia pacifica (krill) total mean biomass",30.2055021337885,455.17
"13825-01",271.82,"Euphausia pacifica (krill) total mean biomass",21.5060199074562,250.31
"13825-01",56.7,"Euphausia pacifica (krill) total mean biomass",7.45099532468118,49.25
"13825-01",449.05,"Euphausia pacifica (krill) total mean biomass",44.6399201786215,404.41
"13825-01",121.7,"Euphausia pacifica (krill) total mean biomass",6.592618781569,115.1
"13825-01",1.6,"Euphausia pacifica (krill) total mean biomass",0.456852332877857,1.15
"13825-01",526.09,"Euphausia pacifica (krill) total mean biomass",34.6105938785745,491.48
