year,index,metric,timeseries
2007,0.005694217,mean % swordfish diet,market squid
2008,0.032939189,mean % swordfish diet,market squid
2009,0.093165447,mean % swordfish diet,market squid
2010,0.228482371,mean % swordfish diet,market squid
2011,0.094355593,mean % swordfish diet,market squid
2012,0.056339032,mean % swordfish diet,market squid
2013,0.081559592,mean % swordfish diet,market squid
2014,0.063591367,mean % swordfish diet,market squid
2015,0.197845741,mean % swordfish diet,market squid
2016,0.229936912,mean % swordfish diet,market squid
2017,0.258339282,mean % swordfish diet,market squid
2018,0.303691699,mean % swordfish diet,market squid
2019,0.120011446,mean % swordfish diet,market squid
2020,0.117987765,mean % swordfish diet,market squid
2021,0.056073009,mean % swordfish diet,market squid
2022,0.15528176,mean % swordfish diet,market squid
2023,0.160293803,mean % swordfish diet,market squid
2024,0.175748627,mean % swordfish diet,market squid
2007,0.969106868,mean % swordfish diet,other
2008,0.94043262,mean % swordfish diet,other
2009,0.880441126,mean % swordfish diet,other
2010,0.64021493,mean % swordfish diet,other
2011,0.597185848,mean % swordfish diet,other
2012,0.750963613,mean % swordfish diet,other
2013,0.810348967,mean % swordfish diet,other
2014,0.749487595,mean % swordfish diet,other
2015,0.641248033,mean % swordfish diet,other
2016,0.506893066,mean % swordfish diet,other
2017,0.306591139,mean % swordfish diet,other
2018,0.339429954,mean % swordfish diet,other
2019,0.24312736,mean % swordfish diet,other
2020,0.633973064,mean % swordfish diet,other
2021,0.31374931,mean % swordfish diet,other
2022,0.313388357,mean % swordfish diet,other
2023,0.202923363,mean % swordfish diet,other
2024,0.221539311,mean % swordfish diet,other
2007,0,mean % swordfish diet,Pacific mackerel
2008,0.003378378,mean % swordfish diet,Pacific mackerel
2009,0.001930502,mean % swordfish diet,Pacific mackerel
2010,0.048611111,mean % swordfish diet,Pacific mackerel
2011,0.043964985,mean % swordfish diet,Pacific mackerel
2012,0.005611672,mean % swordfish diet,Pacific mackerel
2013,0.001116071,mean % swordfish diet,Pacific mackerel
2014,0.0015625,mean % swordfish diet,Pacific mackerel
2015,0.007287449,mean % swordfish diet,Pacific mackerel
2016,0.011335979,mean % swordfish diet,Pacific mackerel
2017,0.020248267,mean % swordfish diet,Pacific mackerel
2018,0.024798928,mean % swordfish diet,Pacific mackerel
2019,0.006977312,mean % swordfish diet,Pacific mackerel
2020,0.005120382,mean % swordfish diet,Pacific mackerel
2021,0.012631824,mean % swordfish diet,Pacific mackerel
2022,0.003216098,mean % swordfish diet,Pacific mackerel
2023,0.003963964,mean % swordfish diet,Pacific mackerel
2024,0.009186688,mean % swordfish diet,Pacific mackerel
2007,0.00953302,mean % swordfish diet,Pacific saury
2008,0.005208333,mean % swordfish diet,Pacific saury
2009,0,mean % swordfish diet,Pacific saury
2010,0.020833333,mean % swordfish diet,Pacific saury
2011,0.013462788,mean % swordfish diet,Pacific saury
2012,0.00637992,mean % swordfish diet,Pacific saury
2013,0.017366203,mean % swordfish diet,Pacific saury
2014,0.014093567,mean % swordfish diet,Pacific saury
2015,0.001748252,mean % swordfish diet,Pacific saury
2016,0,mean % swordfish diet,Pacific saury
2017,0,mean % swordfish diet,Pacific saury
2018,0,mean % swordfish diet,Pacific saury
2019,0,mean % swordfish diet,Pacific saury
2020,0,mean % swordfish diet,Pacific saury
2021,4.2517e-4,mean % swordfish diet,Pacific saury
2022,0.001680672,mean % swordfish diet,Pacific saury
2023,0,mean % swordfish diet,Pacific saury
2024,0,mean % swordfish diet,Pacific saury
2007,0,mean % swordfish diet,rockfishes
2008,0,mean % swordfish diet,rockfishes
2009,0.009009009,mean % swordfish diet,rockfishes
2010,0,mean % swordfish diet,rockfishes
2011,0,mean % swordfish diet,rockfishes
2012,0.001461988,mean % swordfish diet,rockfishes
2013,0.002304147,mean % swordfish diet,rockfishes
2014,0.009615385,mean % swordfish diet,rockfishes
2015,0.016317016,mean % swordfish diet,rockfishes
2016,0.005197992,mean % swordfish diet,rockfishes
2017,0.002217295,mean % swordfish diet,rockfishes
2018,0.007687501,mean % swordfish diet,rockfishes
2019,0.082074998,mean % swordfish diet,rockfishes
2020,0.011512058,mean % swordfish diet,rockfishes
2021,0.001319613,mean % swordfish diet,rockfishes
2022,0.006760326,mean % swordfish diet,rockfishes
2023,0.009097067,mean % swordfish diet,rockfishes
2024,0.026220237,mean % swordfish diet,rockfishes
2007,0,mean % swordfish diet,sardine
2008,0.006756757,mean % swordfish diet,sardine
2009,0.001940402,mean % swordfish diet,sardine
2010,0.043501611,mean % swordfish diet,sardine
2011,0.022337255,mean % swordfish diet,sardine
2012,0.016203704,mean % swordfish diet,sardine
2013,0.014952458,mean % swordfish diet,sardine
2014,0,mean % swordfish diet,sardine
2015,0,mean % swordfish diet,sardine
2016,0.031565568,mean % swordfish diet,sardine
2017,0.009504945,mean % swordfish diet,sardine
2018,0.00245102,mean % swordfish diet,sardine
2019,0.0114462,mean % swordfish diet,sardine
2020,0.00479119,mean % swordfish diet,sardine
2021,3.02663e-4,mean % swordfish diet,sardine
2022,0.001918768,mean % swordfish diet,sardine
2023,0.006554446,mean % swordfish diet,sardine
2024,0.003032732,mean % swordfish diet,sardine
