year,year,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order
1982,1982,107,0,107,107,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1983,1983,128,0,128,128,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1984,1984,147,0,147,147,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1985,1985,124,0,124,124,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1986,1986,148,0,148,148,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1987,1987,106,0,106,106,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1988,1988,155,0,155,155,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1989,1989,96,0,96,96,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1990,1990,82,0,82,82,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1991,1991,99,0,99,99,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1992,1992,120,0,120,120,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1993,1993,166,0,166,166,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1994,1994,115,0,115,115,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1995,1995,100,0,100,100,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1996,1996,142,0,142,142,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1997,1997,126,0,126,126,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1998,1998,83,0,83,83,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1999,1999,89,0,89,89,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2000,2000,134,0,134,134,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2001,2001,120,0,120,120,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2002,2002,106,0,106,106,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2003,2003,117,0,117,117,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2004,2004,112,0,112,112,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2005,2005,142,0,142,142,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2006,2006,109,0,109,109,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2007,2007,117,0,117,117,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2008,2008,88,0,88,88,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2009,2009,83,0,83,83,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2010,2010,154,0,154,154,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2011,2011,118,0,118,118,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2012,2012,124,0,124,124,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2013,2013,100,0,100,100,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2014,2014,130,0,130,130,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2015,2015,103,0,103,103,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2016,2016,114,0,114,114,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2017,2017,123,0,123,123,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2018,2018,108,0,108,108,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2019,2019,108,0,108,108,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2020,2020,138,0,138,138,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2021,2021,81,0,81,81,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2022,2022,162,0,162,162,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2023,2023,114,0,114,114,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2024,2024,89,0,89,89,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
2025,2025,100,0,100,100,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
