year,index,sd.w,n,SDup,SDlo,SE,SEup,SElo,CLup,CLlo,timeseries_original,metric,timeseries
2014,0.158772751747895,0.559424740130818,355,0.718197491878713,0.718197491878713,0.0296911823525803,0.188463934100475,0.129081569395315,0.216967469158952,0.100578034336838,Crab:Finfish ratio - North,Ratio,North
2015,0.216025451569172,1.14639819221105,334,1.36242364378022,1.36242364378022,0.0627281181902574,0.278753569759429,0.153297333378915,0.338972563222077,0.0930783399162674,Crab:Finfish ratio - North,Ratio,North
2016,0.222835348204937,0.505304680387157,362,0.728140028592094,0.728140028592094,0.02655822437262,0.249393572577557,0.196277123832317,0.274889467975272,0.170781228434602,Crab:Finfish ratio - North,Ratio,North
2017,0.26252754230349,0.506278961675206,375,0.768806503978696,0.768806503978696,0.0261441331613767,0.288671675464867,0.236383409142113,0.313770043299788,0.211285041307192,Crab:Finfish ratio - North,Ratio,North
2018,0.173141189773578,0.58946868826984,358,0.762609878043418,0.762609878043418,0.0311543882348297,0.204295578008408,0.141986801538748,0.234203790713844,0.112078588833312,Crab:Finfish ratio - North,Ratio,North
2019,0.102431762103418,0.212679426918543,178,0.315111189021961,0.315111189021961,0.0159409970072927,0.118372759110711,0.0864907650961253,0.133676116237712,0.0711874079691242,Crab:Finfish ratio - North,Ratio,North
2021,0.324737888542209,1.25322530208897,350,1.57796319063118,1.57796319063118,0.0669877101264743,0.391725598668683,0.257750178415735,0.456033800390099,0.193441976694319,Crab:Finfish ratio - North,Ratio,North
2022,0.254519613989924,1.25370110791838,315,1.5082207219083,1.5082207219083,0.0706380550343383,0.325157669024262,0.183881558955586,0.392970201857227,0.116069026122621,Crab:Finfish ratio - North,Ratio,North
2023,0.205622131130528,0.463672009854672,356,0.6692941409852,0.6692941409852,0.024574567373212,0.23019669850374,0.181047563757316,0.253788283182024,0.157455979079032,Crab:Finfish ratio - North,Ratio,North
2024,0.319877783481812,1.08214719690979,361,1.4020249803916,1.4020249803916,0.0569551156268311,0.376832899108643,0.262922667854981,0.431509810110401,0.208245756853223,Crab:Finfish ratio - North,Ratio,North
2025,0.743560513322841,7.37636675842946,370,8.1199272717523,8.1199272717523,0.383479047508477,1.12703956083132,0.360081465814364,1.49517944643946,-0.0080584197937732,Crab:Finfish ratio - North,Ratio,North
2003,0.0630158695636282,0.21068437728624,209,0.273700246849868,0.273700246849868,0.0145733431079509,0.0775892126715791,0.0484425264556773,0.091579622055212,0.0344521170720444,Crab:Finfish ratio - South,Ratio,South
2004,0.0569939982529216,0.147209410925033,217,0.204203409177955,0.204203409177955,0.00999322596942623,0.0669872242223478,0.0470007722834954,0.076580721152997,0.0374072753528462,Crab:Finfish ratio - South,Ratio,South
2005,0.0438248977597577,0.206742021774073,285,0.250566919533831,0.250566919533831,0.0122463404583518,0.0560712382181095,0.0315785573014059,0.0678277250581272,0.0198220704613882,Crab:Finfish ratio - South,Ratio,South
2006,0.0402673141827102,0.0818356987845028,304,0.122103012967213,0.122103012967213,0.00469359922336424,0.0449609134060744,0.035573714959346,0.0494667686605041,0.0310678597049163,Crab:Finfish ratio - South,Ratio,South
2007,0.0358784302609762,0.0802775175539316,303,0.116155947814908,0.116155947814908,0.00461182288388042,0.0404902531448566,0.0312666073770958,0.0449176031133818,0.0268392574085706,Crab:Finfish ratio - South,Ratio,South
2008,0.0906545633024082,0.270727848468922,329,0.36138241177133,0.36138241177133,0.0149257094383798,0.105580272740788,0.0757288538640284,0.119908953801633,0.0614001728031837,Crab:Finfish ratio - South,Ratio,South
2009,0.251421758335471,1.1799658012743,326,1.43138755960977,1.43138755960977,0.0653522614311263,0.316774019766597,0.186069496904345,0.379512190740478,0.123331325930464,Crab:Finfish ratio - South,Ratio,South
2010,0.269568739553515,0.771870181067486,337,1.041438920621,1.041438920621,0.0420464479783948,0.31161518753191,0.22752229157512,0.351979777591169,0.187157701515861,Crab:Finfish ratio - South,Ratio,South
2011,0.148936475431305,0.673537069009132,325,0.822473544440437,0.822473544440437,0.0373611144344331,0.186297589865738,0.111575360996872,0.222164259722794,0.0757086911398161,Crab:Finfish ratio - South,Ratio,South
2012,0.119485430147897,0.451539688943846,324,0.571025119091743,0.571025119091743,0.0250855382746581,0.144570968422555,0.0943998918732389,0.168653085166227,0.0703177751295671,Crab:Finfish ratio - South,Ratio,South
2013,0.0582301928826775,0.214898871583419,192,0.273129064466097,0.273129064466097,0.0155089901696542,0.0737391830523317,0.0427212027130233,0.0886278136151998,0.0278325721501552,Crab:Finfish ratio - South,Ratio,South
2014,0.0689719216904032,0.242581776336734,315,0.311553698027137,0.311553698027137,0.0136679346927061,0.0826398563831093,0.0553039869976971,0.0957610736881072,0.0421827696926992,Crab:Finfish ratio - South,Ratio,South
2015,0.160098045491937,1.04742219795633,328,1.20752024344827,1.20752024344827,0.0578342158824938,0.217932261374431,0.102263829609443,0.273453108621625,0.0467429823622492,Crab:Finfish ratio - South,Ratio,South
2016,0.111043758272104,0.364118127155221,325,0.475161885427325,0.475161885427325,0.0201976396582164,0.13124139793032,0.0908461186138876,0.150631132002208,0.0714563845419998,Crab:Finfish ratio - South,Ratio,South
2017,0.097986879440145,0.245806254828407,326,0.343793134268552,0.343793134268552,0.0136139493276872,0.111600828767832,0.0843729301124578,0.124670220122412,0.0713035387578782,Crab:Finfish ratio - South,Ratio,South
2018,0.0990951640312965,0.389970822264402,342,0.489065986295699,0.489065986295699,0.0210872069957544,0.120182371027051,0.0780079570355421,0.140426089742975,0.0577642383196178,Crab:Finfish ratio - South,Ratio,South
2019,0.0905242388558763,0.408346604064817,170,0.498870842920693,0.498870842920693,0.0313187548632434,0.12184299371912,0.0592054839926329,0.151908998387833,0.0291394793239192,Crab:Finfish ratio - South,Ratio,South
2021,0.055219065754069,0.136477088517542,331,0.191696154271611,0.191696154271611,0.00750145921156641,0.0627205249656354,0.0477176065425026,0.0699219258087392,0.0405162056993988,Crab:Finfish ratio - South,Ratio,South
2022,0.0728869755396667,0.221248781119708,316,0.294135756659375,0.294135756659375,0.0124462163366207,0.0853331918762874,0.060440759203046,0.0972815595594432,0.0484923915198902,Crab:Finfish ratio - South,Ratio,South
2023,0.0569386315894108,0.183914224543678,305,0.240852856133089,0.240852856133089,0.0105308978630337,0.0674695294524445,0.0464077337263771,0.0775791914009568,0.0362980717778648,Crab:Finfish ratio - South,Ratio,South
2024,0.0446178481743807,0.120732519835172,297,0.165350368009553,0.165350368009553,0.00700561135017718,0.0516234595245579,0.0376122368242035,0.058348846420728,0.0308868499280334,Crab:Finfish ratio - South,Ratio,South
2025,0.0550384421917541,0.20429095832453,328,0.259329400516284,0.259329400516284,0.0112800811455354,0.0663185233372895,0.0437583610462187,0.0771474012370034,0.0329294831465048,Crab:Finfish ratio - South,Ratio,South
