year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1995,1995,0.05940096973282026,0.01398484512306785,0.04541612460975241,0.0733858148558881,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
1996,1996,0.9583147584519442,0.8912244583117857,0.0670903001401586,1.84953921676373,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
1997,1997,2.9303460828722074,1.9022046230899243,1.028141459782283,4.832550705962132,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
1998,1998,0.7951940505520765,0.7951940505520765,0.0,1.590388101104153,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
1999,1999,5.218273881797636,0.37658193060123163,4.841691951196404,5.594855812398867,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2000,2000,4.128861354938102,0.8778607340638485,3.2510006208742532,5.006722089001951,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2001,2001,3.913914075284792,0.43663251837537687,3.477281556909415,4.350546593660169,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2002,2002,4.169472380967409,0.5803184085972678,3.589153972370141,4.749790789564677,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2003,2003,1.0453620818284095,0.7641593839462133,0.2812026978821962,1.8095214657746228,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2004,2004,1.3068640591932914,0.25794058532844344,1.048923473864848,1.5648046445217347,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2005,2005,0.15742233152881757,0.0034684816121576126,0.15395384991665995,0.1608908131409752,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2006,2006,5.121136693490763,0.20704231128116102,4.914094382209602,5.328179004771925,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2007,2007,5.043612196642471,0.31482425986317425,4.728787936779296,5.358436456505645,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2008,2008,5.229632796642631,0.02004591748913957,5.209586879153491,5.24967871413177,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2009,2009,5.227960820008798,0.27884965476931944,4.949111165239478,5.506810474778118,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2010,2010,0.09973044151500043,0.055088057729255256,0.04464238378574518,0.1548184992442557,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2011,2011,4.308082569756818,1.4613169820673633,2.846765587689455,5.769399551824182,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2012,2012,4.405894002863456,0.8249760874709836,3.5809179153924724,5.23087009033444,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2013,2013,5.8033111469999,1.290271583876534,4.513039563123366,7.0935827308764345,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2014,2014,0.8986275254190064,0.7591126129685867,0.1395149124504197,1.657740138387593,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2015,2015,0.6008214312385458,0.5795347989708609,0.021286632267684902,1.1803562302094068,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2016,2016,0.6913300923324135,0.6913300923324135,0.0,1.382660184664827,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2017,2017,0.29634280967352644,0.29634280967352644,0.0,0.5926856193470529,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2018,2018,3.6822249999824717,1.6155065526857582,2.0667184472967133,5.29773155266823,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2019,2019,1.4958143160682924,1.189976007900385,0.30583830816790747,2.6857903239686776,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2020,2020,5.802059561751635,0.5876960257076199,5.214363536044015,6.3897555874592555,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2021,2021,5.0875750913626945,0.7547470138237103,4.332828077538984,5.842322105186405,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2022,2022,3.7665820604491342,1.3434768991759176,2.4231051612732166,5.110058959625052,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2023,2023,3.9870476371798076,3.03569776793393,0.9513498692458775,7.022745405113738,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2024,2024,1.6379179144981597,0.7724820287101768,0.8654358857879829,2.4103999432083363,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
2025,2025,2.795624272776282,0.9573814824313283,1.8382427903449539,3.75300575520761,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0
