"time","index","stdev","SEup","SElo","location","timeseries"
2015-10-19,10.25,"1.73","10.51","9.99","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-11-22,9.84,"1.2","10","9.68","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-01-24,9.65,"1.27","9.9","9.41","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-02-09,9.63,"1.69","10","9.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-03-18,10.42,"2.22","11.57","9.28","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-04-19,11.05,"2.48","11.46","10.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-05-12,9.84,"2.21","10.15","9.53","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-06-14,11.17,"1.72","11.64","10.69","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-07-18,11.04,"2.66","11.52","10.55","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-08-29,10.36,"2.33","10.95","9.77","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-09-14,10.62,"1.72","10.86","10.38","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-11-21,9.63,"1.46","9.84","9.43","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2016-12-13,10.2,"1.42","10.41","9.99","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-01-27,11.19,"1.41","11.39","10.99","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-02-13,12.15,"1.1","12.31","11.99","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-04-04,9.68,"1.85","9.97","9.39","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-04-25,12.31,"2.77","12.74","11.87","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-05-30,14.47,"2.29","14.79","14.14","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-07-05,12.68,"1.4","12.89","12.47","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-09-05,13.95,"2.07","14.41","13.49","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-10-04,13.39,"2.57","13.75","13.03","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2017-12-05,10.78,"1.73","11.02","10.54","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-02-08,11.64,"1.53","11.86","11.42","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-03-06,12.78,"1.16","12.95","12.62","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-04-25,15.16,"1.56","15.38","14.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-06-19,14.54,"2.77","14.93","14.15","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-07-23,14.12,"2.42","14.63","13.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-08-30,14.45,"1.62","14.7","14.2","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-09-26,12.85,"2.05","13.15","12.56","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-10-23,11.43,"2.24","11.75","11.11","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2018-12-04,11.06,"1.55","11.33","10.78","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-01-22,11.52,"1.53","11.74","11.29","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-02-28,10.64,"1.64","10.88","10.41","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-04-03,12.75,"2.22","13.07","12.43","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-04-18,7.46,"0.99","7.66","7.26","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-06-11,12.75,"2.59","13.12","12.39","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-07-09,10.21,"0.72","10.48","9.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-08-19,12.59,"2.51","13.06","12.13","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-10-30,11.23,"2.07","11.52","10.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2019-12-03,10.91,"1.49","11.13","10.68","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-01-06,10.62,"1.61","10.89","10.36","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-02-19,13.11,"1.52","13.32","12.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-03-09,13.67,"1.16","13.83","13.51","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-06-10,15.16,"1.87","15.42","14.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-07-30,13.31,"1.97","13.65","12.98","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-08-20,14.8,"1.84","15.09","14.51","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-09-30,10.09,"NaN","NaN","NaN","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2020-10-29,11.02,"1.38","11.22","10.83","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2021-06-22,14.29,"2.9","14.72","13.86","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2021-07-27,10.48,"1.78","10.9","10.06","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2021-09-07,11.76,"1.68","12","11.52","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2021-11-14,11.6,"1.62","11.84","11.37","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2021-12-06,11.52,"1.8","11.79","11.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-01-17,11.13,"1.51","11.35","10.92","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-02-13,11.06,"1.23","11.23","10.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-03-17,13.27,"1.33","13.47","13.07","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-04-14,12.06,"2.63","12.47","11.65","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-05-18,11.21,"1.84","11.55","10.86","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-07-08,13.43,"2.19","13.75","13.11","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-08-22,11.7,"2.29","12.45","10.95","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-09-12,12.2,"1.63","12.47","11.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-10-16,12.15,"1.59","12.38","11.92","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-11-10,11.44,"1.75","12.06","10.82","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2022-12-06,11.94,"1.52","12.25","11.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-02-09,11.22,"1.65","11.46","10.99","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-03-17,14.46,"1.04","14.67","14.26","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-04-04,11.38,"2.72","12.02","10.74","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-05-10,12.56,"3.27","13.02","12.09","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-06-08,11.21,"2.64","11.59","10.82","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-07-09,13.51,"1.83","13.92","13.1","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-08-09,12.71,"1.94","13","12.41","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-09-22,12.9,"2.02","13.19","12.62","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-10-31,9.14,"1.38","9.37","8.91","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2023-11-29,9.8,"1.18","10.06","9.54","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2024-03-08,10.65,"1.96","11.44","9.85","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2024-04-19,13.23,"2.58","13.71","12.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2024-05-24,15.28,"2.02","15.62","14.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2024-07-05,13.38,"3.03","14.74","12.02","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2024-08-01,12.94,"1.73","13.22","12.66","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2024-09-04,12.31,"2.85","13.54","11.08","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2007-11-08,2416.52,"740","2519.25","2313.79","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2007-12-11,41.77,"9.85","44.74","38.8","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2008-02-17,197.07,"137.58","215.8","178.35","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2008-03-05,1287.13,"416.86","1343.86","1230.39","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2008-05-16,116.29,"41.09","123.61","108.97","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2008-06-20,3622.94,"1181.75","3779.86","3466.02","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2008-09-16,825.43,"354.71","894.7","756.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2008-10-28,514.2,"163.37","537.76","490.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-01-14,151.24,"51.5","158.73","143.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-02-17,3773.49,"1357.79","3966.04","3580.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-03-19,1864.96,"606.06","1948.03","1781.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-04-21,1802.77,"408.51","1857.47","1748.08","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-06-01,1835.03,"358.95","1885.22","1784.83","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-08-04,1291.92,"525.54","1364.46","1219.39","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-09-14,2781.81,"2052.17","3145.23","2418.39","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2009-10-29,1128.3,"529.41","1208.18","1048.42","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2010-01-31,409.43,"105.2","425.02","393.84","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2010-02-18,256.58,"95.17","274.53","238.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2010-04-13,29.59,"11.14","36.03","23.16","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2010-12-10,319.26,"195.79","353.22","285.31","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-02-20,116.25,"40.75","122.34","110.16","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-05-27,518.63,"193.82","551.24","486.02","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-06-28,2670.91,"1132.76","2818.38","2523.44","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-07-14,627.48,"325.09","670.92","584.03","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-08-02,1983.4,"530.97","2072.12","1894.67","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-09-12,265.98,"134.96","297.61","234.35","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-10-10,513.48,"216.63","558.19","468.78","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-11-15,662.83,"241.22","705.47","620.18","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2011-12-06,207.74,"78.57","226.3","189.18","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-01-29,978.54,"343.61","1027.93","929.14","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-02-21,1503.47,"388.37","1552.2","1454.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-03-08,190.6,"66.98","199.93","181.27","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-04-05,131.6,"37.48","137.38","125.83","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-04-19,80.08,"31.08","85.56","74.59","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-05-22,2252.53,"484.28","2322.3","2182.76","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-06-05,71.93,"29.98","78.99","64.86","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-06-24,23.85,"10.62","29.16","18.54","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-08-04,294.52,"126.57","317.59","271.46","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-09-06,94.64,"30.95","110.11","79.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-09-21,577.94,"243.52","654.6","501.29","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-10-22,733.48,"504.53","859.61","607.35","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-11-26,473.94,"259.88","518.11","429.76","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2012-12-14,165,"83.44","179.31","150.69","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-01-16,286.73,"199.77","323.45","250.02","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-02-15,339.33,"209.41","368.18","310.48","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-03-11,64.08,"7.93","66.28","61.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-05-06,618.79,"289.91","658.38","579.21","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-05-13,1849.3,"939.57","1976.35","1722.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-05-29,123.67,"68.71","136.38","110.95","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-06-18,997.83,"353.79","1045.89","949.78","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-06-26,1021.45,"438.33","1082.4","960.5","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-07-17,3161.54,"1117.62","3309.33","3013.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-07-23,17.43,"16.3","21.17","13.69","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-08-05,233.73,"123.27","267.85","199.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-08-26,1865.47,"922.81","1995.97","1734.96","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-09-12,1385.63,"387.79","1441.28","1329.98","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-10-15,1005.12,"336.49","1048","962.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-10-24,836.66,"479.4","911.41","761.92","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-11-12,114.34,"37.51","128.52","100.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-01-02,57.32,"34.99","66.5","48.14","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-01-16,265.97,"143.54","288.06","243.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-02-24,280,"76.59","292.82","267.19","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-04-02,423.85,"145.29","444.29","403.42","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-04-28,2302.64,"638.62","2389.14","2216.14","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-06-12,1756.18,"551.7","1838.53","1673.83","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-07-15,562.27,"391.26","698.04","426.51","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-08-28,252.99,"309.17","362.3","143.68","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-09-16,185.5,"212.92","229.93","141.07","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-10-27,400.47,"148.04","437.2","363.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
