year,index,sd.w,n,SDup,SDlo,SE,SEup,SElo,CLup,CLlo,timeseries,metric
2012,0.224182348401222,0.262913184136553,368,0.487095532537775,0.487095532537775,0.0137052971345283,0.23788764553575,0.210477051266694,0.251044730784897,0.197319966017547,Scavenger ratio - North,Ratio
2013,0.188716815837654,0.249803742975574,271,0.438520558813228,0.438520558813228,0.0151744967155588,0.203891312553213,0.173542319122095,0.218458829400149,0.158974802275159,Scavenger ratio - North,Ratio
2014,0.182273863166007,0.25817245369027,355,0.440446316856277,0.440446316856277,0.0137023711163335,0.195976234282341,0.168571492049673,0.209130510554021,0.155417215777993,Scavenger ratio - North,Ratio
2015,0.175435231961394,0.250284793420469,334,0.425720025381863,0.425720025381863,0.0136949745817577,0.189130206543152,0.161740257379636,0.202277382141639,0.148593081781149,Scavenger ratio - North,Ratio
2016,0.2249062154951,0.260680591227998,348,0.485586806723098,0.485586806723098,0.0139739464722232,0.238880161967323,0.210932269022877,0.252295150580657,0.197517280409543,Scavenger ratio - North,Ratio
2017,0.260991463853302,0.259665643872503,369,0.520657107725805,0.520657107725805,0.013517653478932,0.274509117332234,0.24747381037437,0.287486064672009,0.234496863034595,Scavenger ratio - North,Ratio
2018,0.211087501124253,0.259834636690098,353,0.470922137814351,0.470922137814351,0.0138296022798118,0.224917103404065,0.197257898844441,0.238193521592684,0.183981480655822,Scavenger ratio - North,Ratio
2019,0.178504786721124,0.244110708567529,176,0.422615495288653,0.422615495288653,0.0184005369915066,0.196905323712631,0.160104249729617,0.214569839224477,0.142439734217771,Scavenger ratio - North,Ratio
2021,0.274323125032715,0.282731237529072,351,0.557054362561787,0.557054362561787,0.0150910770295193,0.289414202062234,0.259232048003196,0.303901636010573,0.244744614054857,Scavenger ratio - North,Ratio
2022,0.259134661335331,0.26125613111436,314,0.520390792449691,0.520390792449691,0.0147435364273587,0.27387819776269,0.244391124907972,0.288031992732954,0.230237329937708,Scavenger ratio - North,Ratio
2023,0.266966685557117,0.269016569881813,356,0.53598325543893,0.53598325543893,0.0142578496880652,0.281224535245182,0.252708835869052,0.294912070945725,0.239021300168509,Scavenger ratio - North,Ratio
2024,0.306404300933104,0.286895051029784,361,0.593299351962888,0.593299351962888,0.0150997395278834,0.321504040460987,0.291304561405221,0.335999790407755,0.276808811458453,Scavenger ratio - North,Ratio
2025,0.265457498112074,0.259310528770211,370,0.524768026882285,0.524768026882285,0.0134809124652164,0.27893841057729,0.251976585646858,0.291880086543898,0.23903490968025,Scavenger ratio - North,Ratio
2003,0.255136241573431,0.310023234062036,209,0.565159475635467,0.565159475635467,0.0214447555135248,0.276580997086956,0.233691486059906,0.29716796237994,0.213104520766922,Scavenger ratio - South,Ratio
2004,0.27689473278541,0.295558109965472,217,0.572452842750882,0.572452842750882,0.0200637918555738,0.296958524640984,0.256830940929836,0.316219764822335,0.237569700748485,Scavenger ratio - South,Ratio
2005,0.271388179794021,0.291971578642506,285,0.563359758436527,0.563359758436527,0.0172949036946439,0.288683083488665,0.254093276099377,0.305286191035523,0.237490168552519,Scavenger ratio - South,Ratio
2006,0.294629235445891,0.315171936989293,303,0.609801172435184,0.609801172435184,0.0181061546950259,0.312735390140917,0.276523080750865,0.330117298648142,0.25914117224363997,Scavenger ratio - South,Ratio
2007,0.289687202230944,0.308918130332056,302,0.598605332563,0.598605332563,0.017776240863335,0.307463443094279,0.271910961367609,0.324528634323081,0.254845770138807,Scavenger ratio - South,Ratio
2008,0.286551758376652,0.305924396431686,328,0.592476154808338,0.592476154808338,0.0168918489807387,0.303443607357391,0.269659909395913,0.3196597823789,0.253443734374404,Scavenger ratio - South,Ratio
2009,0.312025283800002,0.300523418243957,326,0.612548702043959,0.612548702043959,0.0166444527240067,0.328669736524009,0.295380831075995,0.344648411139055,0.279402156460949,Scavenger ratio - South,Ratio
2010,0.356397963012178,0.296348509249406,337,0.652746472261584,0.652746472261584,0.0161431319453194,0.372541094957497,0.340254831066859,0.388038501625004,0.324757424399352,Scavenger ratio - South,Ratio
2011,0.33193981013731,0.290397620697745,325,0.622337430835055,0.622337430835055,0.0161083617184379,0.348048171855748,0.315831448418872,0.363512199105448,0.300367421169172,Scavenger ratio - South,Ratio
2012,0.286426389123857,0.292871531221866,322,0.579297920345723,0.579297920345723,0.0163210923433528,0.30274748146721,0.270105296780504,0.318415730116828,0.254437048130885,Scavenger ratio - South,Ratio
2013,0.247199154486424,0.296096638750378,192,0.543295793236802,0.543295793236802,0.0213689342610843,0.268568088747508,0.22583022022534,0.289082265638149,0.205316043334699,Scavenger ratio - South,Ratio
2014,0.271380046164212,0.303123756265499,315,0.574503802429711,0.574503802429711,0.0170790888211384,0.28845913498535,0.254300957343074,0.304855060253643,0.237905032074781,Scavenger ratio - South,Ratio
2015,0.298947109893311,0.307364427942903,328,0.606311537836214,0.606311537836214,0.0169713614194285,0.31591847131274,0.281975748473883,0.332210978275391,0.265683241511231,Scavenger ratio - South,Ratio
2016,0.311758517809174,0.316668646208234,320,0.628427164017408,0.628427164017408,0.0177023154816111,0.329460833290785,0.294056202327563,0.346455056153132,0.277061979465216,Scavenger ratio - South,Ratio
2017,0.298839884066648,0.29554133731826,322,0.594381221384908,0.594381221384908,0.0164698748202849,0.315309758886933,0.282370009246363,0.331120838714407,0.26655892941889,Scavenger ratio - South,Ratio
2018,0.306514039643647,0.301009902089294,339,0.607523941732941,0.607523941732941,0.0163486137501334,0.32286265339378,0.290165425893514,0.33855732259390803,0.274470756693385,Scavenger ratio - South,Ratio
2019,0.260371095171831,0.293569920155786,170,0.553941015327617,0.553941015327617,0.0225157850538206,0.282886880225652,0.23785531011801,0.304502033877319,0.216240156466343,Scavenger ratio - South,Ratio
2021,0.272203517094724,0.298414218178656,329,0.57061773527338,0.57061773527338,0.0164521084107356,0.28865562550546,0.255751408683988,0.304449649579766,0.239957384609682,Scavenger ratio - South,Ratio
2022,0.254597624187904,0.284810077914978,315,0.539407702102882,0.539407702102882,0.0160472299426269,0.270644854130531,0.238550394245277,0.286050194875453,0.223145053500355,Scavenger ratio - South,Ratio
2023,0.288086747636668,0.3011681884544,305,0.589254936091068,0.589254936091068,0.0172448403057315,0.305331587942399,0.270841907330936,0.321886634635902,0.254286860637434,Scavenger ratio - South,Ratio
2024,0.285108044705982,0.302634755834843,297,0.587742800540825,0.587742800540825,0.0175606496354848,0.302668694341467,0.267547395070497,0.319526917991532,0.250689171420432,Scavenger ratio - South,Ratio
2025,0.28505159199987,0.306689068752404,327,0.591740660752274,0.591740660752274,0.0169599442555248,0.302011536255395,0.268091647744345,0.318293082740699,0.251810101259041,Scavenger ratio - South,Ratio
