year,index,metric,order,timeseries,outlier,...7,...8
2008,0.830612433,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2009,1.586972357,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2010,0.471105831,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2011,1.324596131,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2012,1.73395227,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2013,1.207854763,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2014,1.116027054,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2015,2.798812775,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2016,0.694953773,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2017,1.174206196,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2018,0.762941355,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2019,0.891591228,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2020,0.758676584,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2021,1.413812254,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2022,0.824556279,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2023,1.985312292,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2024,0.371959393,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2025,0.666837783,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2001,0.160786553,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2002,0.085942127,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2003,0.051272817,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2004,0.071537347,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2005,0.059591566,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2006,0.062709204,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2007,0.039646046,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2008,0.029489751,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2009,0.084448235,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2010,0.056586472,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2011,0.317992628,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2012,0.331349186,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2013,0.201237786,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2014,0.057596383,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2015,0.096984969,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2016,0.035724314,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2017,0.0491453,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2018,0.025746027,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2019,0.038344563,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2020,0.049856798,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2021,0.049932171,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2022,0.048551599,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2023,0.036314872,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2024,0.052246591,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2025,0.051345624,Encounter rate,3,Sooty shearwater (No CC May - Oct),NA,NA,NA
2001,0.124877986,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2002,1.062240424,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2003,5.566054304,Encounter rate,4,Northern fulmar (No CC Oct - Feb),outlier,NA,NA
2004,0.350351952,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2005,0.660616876,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2006,0.179802766,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2007,1.271462178,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2008,0.123614701,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2009,1.420699534,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2010,1.846622908,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2011,0.205229591,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2012,0.480960525,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2013,0.375072807,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2014,0.740467293,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2015,0.235387906,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2016,0.60706629,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2017,0.226087433,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2018,0.014077434,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2019,0.321384036,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2020,0.102366303,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2021,1.097640617,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2022,0.487288213,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2023,0.270197004,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2024,0.552739125,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
2025,0.96525702,Encounter rate,4,Northern fulmar (No CC Oct - Feb),NA,NA,NA
