year,index,SEup,SElo,timeseries,metric
2007,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2008,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2009,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2010,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2011,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2012,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2013,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2014,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2015,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2016,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2017,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2018,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2019,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2021,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2022,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2023,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2024,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2025,,,,CA smoothtongue,mean ln larval abundance under 10m^2
1997,,,,eared blacksmelt,mean ln larval abundance under 10m^2
1998,,,,eared blacksmelt,mean ln larval abundance under 10m^2
1999,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2000,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2001,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2002,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2003,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2004,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2005,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2006,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2007,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2008,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2009,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2010,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2011,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2012,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2013,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2014,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2015,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2016,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2017,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2018,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2019,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2021,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2022,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2023,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2024,,,,eared blacksmelt,mean ln larval abundance under 10m^2
2025,,,,eared blacksmelt,mean ln larval abundance under 10m^2
1997,,,,slender sole,mean ln larval abundance under 10m^2
1998,,,,slender sole,mean ln larval abundance under 10m^2
1999,,,,slender sole,mean ln larval abundance under 10m^2
2000,,,,slender sole,mean ln larval abundance under 10m^2
2001,,,,slender sole,mean ln larval abundance under 10m^2
2002,,,,slender sole,mean ln larval abundance under 10m^2
2003,,,,slender sole,mean ln larval abundance under 10m^2
2004,,,,slender sole,mean ln larval abundance under 10m^2
2005,,,,slender sole,mean ln larval abundance under 10m^2
2006,,,,slender sole,mean ln larval abundance under 10m^2
2007,,,,slender sole,mean ln larval abundance under 10m^2
2008,,,,slender sole,mean ln larval abundance under 10m^2
2009,,,,slender sole,mean ln larval abundance under 10m^2
2010,,,,slender sole,mean ln larval abundance under 10m^2
2011,,,,slender sole,mean ln larval abundance under 10m^2
2012,,,,slender sole,mean ln larval abundance under 10m^2
2013,,,,slender sole,mean ln larval abundance under 10m^2
2014,,,,slender sole,mean ln larval abundance under 10m^2
2015,,,,slender sole,mean ln larval abundance under 10m^2
2016,,,,slender sole,mean ln larval abundance under 10m^2
2017,,,,slender sole,mean ln larval abundance under 10m^2
2018,,,,slender sole,mean ln larval abundance under 10m^2
2019,,,,slender sole,mean ln larval abundance under 10m^2
2021,,,,slender sole,mean ln larval abundance under 10m^2
2022,,,,slender sole,mean ln larval abundance under 10m^2
2023,,,,slender sole,mean ln larval abundance under 10m^2
2024,,,,slender sole,mean ln larval abundance under 10m^2
2025,,,,slender sole,mean ln larval abundance under 10m^2
1997,,,,hake,mean ln larval abundance under 10m^2
1998,,,,hake,mean ln larval abundance under 10m^2
1999,,,,hake,mean ln larval abundance under 10m^2
2000,,,,hake,mean ln larval abundance under 10m^2
2001,,,,hake,mean ln larval abundance under 10m^2
2002,,,,hake,mean ln larval abundance under 10m^2
2003,,,,hake,mean ln larval abundance under 10m^2
2004,,,,hake,mean ln larval abundance under 10m^2
2005,,,,hake,mean ln larval abundance under 10m^2
2006,,,,hake,mean ln larval abundance under 10m^2
2007,,,,hake,mean ln larval abundance under 10m^2
2008,,,,hake,mean ln larval abundance under 10m^2
2009,,,,hake,mean ln larval abundance under 10m^2
2010,,,,hake,mean ln larval abundance under 10m^2
2011,,,,hake,mean ln larval abundance under 10m^2
2012,,,,hake,mean ln larval abundance under 10m^2
2013,,,,hake,mean ln larval abundance under 10m^2
2014,,,,hake,mean ln larval abundance under 10m^2
2015,,,,hake,mean ln larval abundance under 10m^2
2016,,,,hake,mean ln larval abundance under 10m^2
2017,,,,hake,mean ln larval abundance under 10m^2
2018,,,,hake,mean ln larval abundance under 10m^2
2019,,,,hake,mean ln larval abundance under 10m^2
2021,,,,hake,mean ln larval abundance under 10m^2
2022,,,,hake,mean ln larval abundance under 10m^2
2023,,,,hake,mean ln larval abundance under 10m^2
2024,,,,hake,mean ln larval abundance under 10m^2
2025,,,,hake,mean ln larval abundance under 10m^2
1997,,,,English sole,mean ln larval abundance under 10m^2
1998,,,,English sole,mean ln larval abundance under 10m^2
1999,,,,English sole,mean ln larval abundance under 10m^2
2000,,,,English sole,mean ln larval abundance under 10m^2
2001,,,,English sole,mean ln larval abundance under 10m^2
2002,,,,English sole,mean ln larval abundance under 10m^2
2003,,,,English sole,mean ln larval abundance under 10m^2
2004,,,,English sole,mean ln larval abundance under 10m^2
2005,,,,English sole,mean ln larval abundance under 10m^2
2006,,,,English sole,mean ln larval abundance under 10m^2
2007,,,,English sole,mean ln larval abundance under 10m^2
2008,,,,English sole,mean ln larval abundance under 10m^2
2009,,,,English sole,mean ln larval abundance under 10m^2
2010,,,,English sole,mean ln larval abundance under 10m^2
2011,,,,English sole,mean ln larval abundance under 10m^2
2012,,,,English sole,mean ln larval abundance under 10m^2
2013,,,,English sole,mean ln larval abundance under 10m^2
2014,,,,English sole,mean ln larval abundance under 10m^2
2015,,,,English sole,mean ln larval abundance under 10m^2
2016,,,,English sole,mean ln larval abundance under 10m^2
2017,,,,English sole,mean ln larval abundance under 10m^2
2018,,,,English sole,mean ln larval abundance under 10m^2
2019,,,,English sole,mean ln larval abundance under 10m^2
2021,,,,English sole,mean ln larval abundance under 10m^2
2022,,,,English sole,mean ln larval abundance under 10m^2
2023,,,,English sole,mean ln larval abundance under 10m^2
2024,,,,English sole,mean ln larval abundance under 10m^2
2025,,,,English sole,mean ln larval abundance under 10m^2
1997,,,,sardine,mean ln larval abundance under 10m^2
1998,,,,sardine,mean ln larval abundance under 10m^2
1999,,,,sardine,mean ln larval abundance under 10m^2
2000,,,,sardine,mean ln larval abundance under 10m^2
2001,,,,sardine,mean ln larval abundance under 10m^2
2002,,,,sardine,mean ln larval abundance under 10m^2
2003,,,,sardine,mean ln larval abundance under 10m^2
2004,,,,sardine,mean ln larval abundance under 10m^2
2005,,,,sardine,mean ln larval abundance under 10m^2
2006,,,,sardine,mean ln larval abundance under 10m^2
2007,,,,sardine,mean ln larval abundance under 10m^2
2008,,,,sardine,mean ln larval abundance under 10m^2
2009,,,,sardine,mean ln larval abundance under 10m^2
2010,,,,sardine,mean ln larval abundance under 10m^2
2011,,,,sardine,mean ln larval abundance under 10m^2
2012,,,,sardine,mean ln larval abundance under 10m^2
2013,,,,sardine,mean ln larval abundance under 10m^2
2014,,,,sardine,mean ln larval abundance under 10m^2
2015,,,,sardine,mean ln larval abundance under 10m^2
2016,,,,sardine,mean ln larval abundance under 10m^2
2017,,,,sardine,mean ln larval abundance under 10m^2
2018,,,,sardine,mean ln larval abundance under 10m^2
2019,,,,sardine,mean ln larval abundance under 10m^2
2021,,,,sardine,mean ln larval abundance under 10m^2
2022,,,,sardine,mean ln larval abundance under 10m^2
2023,,,,sardine,mean ln larval abundance under 10m^2
2024,,,,sardine,mean ln larval abundance under 10m^2
2025,,,,sardine,mean ln larval abundance under 10m^2
1997,,,,croakers,mean ln larval abundance under 10m^2
1998,,,,croakers,mean ln larval abundance under 10m^2
1999,,,,croakers,mean ln larval abundance under 10m^2
2000,,,,croakers,mean ln larval abundance under 10m^2
2001,,,,croakers,mean ln larval abundance under 10m^2
2002,,,,croakers,mean ln larval abundance under 10m^2
2003,,,,croakers,mean ln larval abundance under 10m^2
2004,,,,croakers,mean ln larval abundance under 10m^2
2005,,,,croakers,mean ln larval abundance under 10m^2
2006,,,,croakers,mean ln larval abundance under 10m^2
2007,,,,croakers,mean ln larval abundance under 10m^2
2008,,,,croakers,mean ln larval abundance under 10m^2
2009,,,,croakers,mean ln larval abundance under 10m^2
2010,,,,croakers,mean ln larval abundance under 10m^2
2011,,,,croakers,mean ln larval abundance under 10m^2
2012,,,,croakers,mean ln larval abundance under 10m^2
2013,,,,croakers,mean ln larval abundance under 10m^2
2014,,,,croakers,mean ln larval abundance under 10m^2
2015,,,,croakers,mean ln larval abundance under 10m^2
2016,,,,croakers,mean ln larval abundance under 10m^2
2017,,,,croakers,mean ln larval abundance under 10m^2
2018,,,,croakers,mean ln larval abundance under 10m^2
2019,,,,croakers,mean ln larval abundance under 10m^2
2021,,,,croakers,mean ln larval abundance under 10m^2
2022,,,,croakers,mean ln larval abundance under 10m^2
2023,,,,croakers,mean ln larval abundance under 10m^2
2024,,,,croakers,mean ln larval abundance under 10m^2
2025,,,,croakers,mean ln larval abundance under 10m^2
1997,,,,Pacific mackerel,mean ln larval abundance under 10m^2
1998,,,,Pacific mackerel,mean ln larval abundance under 10m^2
1999,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2000,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2001,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2002,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2003,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2004,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2005,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2006,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2007,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2008,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2009,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2010,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2011,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2012,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2013,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2014,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2015,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2016,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2017,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2018,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2019,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2021,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2022,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2023,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2024,,,,Pacific mackerel,mean ln larval abundance under 10m^2
2025,,,,Pacific mackerel,mean ln larval abundance under 10m^2
1997,,,,rockfishes,mean ln larval abundance under 10m^2
1998,,,,rockfishes,mean ln larval abundance under 10m^2
1999,,,,rockfishes,mean ln larval abundance under 10m^2
2000,,,,rockfishes,mean ln larval abundance under 10m^2
2001,,,,rockfishes,mean ln larval abundance under 10m^2
2002,,,,rockfishes,mean ln larval abundance under 10m^2
2003,,,,rockfishes,mean ln larval abundance under 10m^2
2004,,,,rockfishes,mean ln larval abundance under 10m^2
2005,,,,rockfishes,mean ln larval abundance under 10m^2
2006,,,,rockfishes,mean ln larval abundance under 10m^2
2007,,,,rockfishes,mean ln larval abundance under 10m^2
2008,,,,rockfishes,mean ln larval abundance under 10m^2
2009,,,,rockfishes,mean ln larval abundance under 10m^2
2010,,,,rockfishes,mean ln larval abundance under 10m^2
2011,,,,rockfishes,mean ln larval abundance under 10m^2
2012,,,,rockfishes,mean ln larval abundance under 10m^2
2013,,,,rockfishes,mean ln larval abundance under 10m^2
2014,,,,rockfishes,mean ln larval abundance under 10m^2
2015,,,,rockfishes,mean ln larval abundance under 10m^2
2016,,,,rockfishes,mean ln larval abundance under 10m^2
2017,,,,rockfishes,mean ln larval abundance under 10m^2
2018,,,,rockfishes,mean ln larval abundance under 10m^2
2019,,,,rockfishes,mean ln larval abundance under 10m^2
2021,,,,rockfishes,mean ln larval abundance under 10m^2
2022,,,,rockfishes,mean ln larval abundance under 10m^2
2023,,,,rockfishes,mean ln larval abundance under 10m^2
2024,,,,rockfishes,mean ln larval abundance under 10m^2
2025,,,,rockfishes,mean ln larval abundance under 10m^2
1997,,,,southern mesopelagics,mean ln larval abundance under 10m^2
1998,,,,southern mesopelagics,mean ln larval abundance under 10m^2
1999,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2000,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2001,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2002,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2003,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2004,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2005,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2006,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2007,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2008,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2009,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2010,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2011,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2012,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2013,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2014,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2015,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2016,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2017,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2018,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2019,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2021,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2022,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2023,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2024,,,,southern mesopelagics,mean ln larval abundance under 10m^2
2025,,,,southern mesopelagics,mean ln larval abundance under 10m^2
1997,,,,northern lampfish,mean ln larval abundance under 10m^2
1998,,,,northern lampfish,mean ln larval abundance under 10m^2
1999,,,,northern lampfish,mean ln larval abundance under 10m^2
2000,,,,northern lampfish,mean ln larval abundance under 10m^2
2001,,,,northern lampfish,mean ln larval abundance under 10m^2
2002,,,,northern lampfish,mean ln larval abundance under 10m^2
2003,,,,northern lampfish,mean ln larval abundance under 10m^2
2004,,,,northern lampfish,mean ln larval abundance under 10m^2
2005,,,,northern lampfish,mean ln larval abundance under 10m^2
2006,,,,northern lampfish,mean ln larval abundance under 10m^2
2007,,,,northern lampfish,mean ln larval abundance under 10m^2
2008,,,,northern lampfish,mean ln larval abundance under 10m^2
2009,,,,northern lampfish,mean ln larval abundance under 10m^2
2010,,,,northern lampfish,mean ln larval abundance under 10m^2
2011,,,,northern lampfish,mean ln larval abundance under 10m^2
2012,,,,northern lampfish,mean ln larval abundance under 10m^2
2013,,,,northern lampfish,mean ln larval abundance under 10m^2
2014,,,,northern lampfish,mean ln larval abundance under 10m^2
2015,,,,northern lampfish,mean ln larval abundance under 10m^2
2016,,,,northern lampfish,mean ln larval abundance under 10m^2
2017,,,,northern lampfish,mean ln larval abundance under 10m^2
2018,,,,northern lampfish,mean ln larval abundance under 10m^2
2019,,,,northern lampfish,mean ln larval abundance under 10m^2
2021,,,,northern lampfish,mean ln larval abundance under 10m^2
2022,,,,northern lampfish,mean ln larval abundance under 10m^2
2023,,,,northern lampfish,mean ln larval abundance under 10m^2
2024,,,,northern lampfish,mean ln larval abundance under 10m^2
2025,,,,northern lampfish,mean ln larval abundance under 10m^2
1997,,,,Jack mackerel,mean ln larval abundance under 10m^2
1998,,,,Jack mackerel,mean ln larval abundance under 10m^2
1999,,,,Jack mackerel,mean ln larval abundance under 10m^2
2000,,,,Jack mackerel,mean ln larval abundance under 10m^2
2001,,,,Jack mackerel,mean ln larval abundance under 10m^2
2002,,,,Jack mackerel,mean ln larval abundance under 10m^2
2003,,,,Jack mackerel,mean ln larval abundance under 10m^2
2004,,,,Jack mackerel,mean ln larval abundance under 10m^2
2005,,,,Jack mackerel,mean ln larval abundance under 10m^2
2006,,,,Jack mackerel,mean ln larval abundance under 10m^2
2007,,,,Jack mackerel,mean ln larval abundance under 10m^2
2008,,,,Jack mackerel,mean ln larval abundance under 10m^2
2009,,,,Jack mackerel,mean ln larval abundance under 10m^2
2010,,,,Jack mackerel,mean ln larval abundance under 10m^2
2011,,,,Jack mackerel,mean ln larval abundance under 10m^2
2012,,,,Jack mackerel,mean ln larval abundance under 10m^2
2013,,,,Jack mackerel,mean ln larval abundance under 10m^2
2014,,,,Jack mackerel,mean ln larval abundance under 10m^2
2015,,,,Jack mackerel,mean ln larval abundance under 10m^2
2016,,,,Jack mackerel,mean ln larval abundance under 10m^2
2017,,,,Jack mackerel,mean ln larval abundance under 10m^2
2018,,,,Jack mackerel,mean ln larval abundance under 10m^2
2019,,,,Jack mackerel,mean ln larval abundance under 10m^2
2021,,,,Jack mackerel,mean ln larval abundance under 10m^2
2022,,,,Jack mackerel,mean ln larval abundance under 10m^2
2023,,,,Jack mackerel,mean ln larval abundance under 10m^2
2024,,,,Jack mackerel,mean ln larval abundance under 10m^2
2025,,,,Jack mackerel,mean ln larval abundance under 10m^2
