response,region,long_estimate_low,long_estimate,long_estimate_high,short_estimate_low,short_estimate,short_estimate_high,abb,region_type,short_trend,long_trend
1 day max flow,UKT,-0.7667020451480113,-0.40164408100613086,-0.04012550875754789,0.04650137084110714,0.1506374963541327,0.25700182393260057,UKT,ESU,positive,negative
7 day min flow,LCR,-0.4967475796379818,-0.18150482565685702,0.1407976246737869,-0.12726172086711662,-0.009015096755973593,0.11066037985777835,LCR,ESU,none,none
1 day max flow,LCR,-0.43434776285079435,-0.18675071955020273,0.06155704157162464,-0.0910200997714925,-0.014360700890151543,0.06283107592586562,LCR,ESU,none,none
7 day min flow,UCS,-0.4120013015697681,-0.03327613706604455,0.3529773142634575,-0.32555861476610026,-0.16959456252450494,-0.017863109596574667,UCS,ESU,negative,none
1 day max flow,UCS,-0.46046603906155137,-0.13164622899817816,0.19958113282800025,-0.2826968669278209,-0.13565768360645172,0.010939193362492494,UCS,ESU,none,none
7 day min flow,UCF,-0.5006250096529998,-0.17694303200080436,0.15307158865030687,-0.2972142527754788,-0.16335268601401534,-0.028444592332061397,UCF,ESU,negative,none
1 day max flow,UCF,-0.4512854221947462,-0.17485520886586742,0.10397936157899076,-0.22364393136591168,-0.11082280673874516,0.0021147785651296908,UCF,ESU,none,none
7 day min flow,CVS,-0.4533072419653622,-0.047940709388368266,0.36368078868048526,-0.012931572271505293,0.15108402135658316,0.3150771417816073,CVS,ESU,none,none
1 day max flow,CVS,-0.9566153505765072,-0.6824796117635695,-0.41027338830870536,0.2478027328841507,0.3666298202625221,0.4873404232810875,CVS,ESU,positive,negative
7 day min flow,SRS,-0.7066474684411772,-0.2975932757262324,0.11944315005863226,-0.10272298437867802,0.018282180110620567,0.13950117646570545,SRS,ESU,none,none
1 day max flow,SRS,-0.5265949441083478,-0.17671567418583972,0.17254659632484015,-0.16451466744652346,-0.002842688936373718,0.15926886784434738,SRS,ESU,none,none
7 day min flow,CVF,-0.31705284591630783,-0.003499401495162989,0.3099606731016587,0.02763493136573536,0.1617038076677929,0.30081064666716206,CVF,ESU,positive,none
1 day max flow,CVF,-0.5931348864772594,-0.339895828266192,-0.08545459677546569,0.13840793794179254,0.270010215899806,0.3959889795308944,CVF,ESU,positive,negative
7 day min flow,SRF,-0.35359244371395704,0.05750674925171342,0.47097325022360287,-0.25508341297351245,-0.13264790937218165,-0.014116128338839726,SRF,ESU,negative,none
1 day max flow,SRF,-0.45596085858274304,-0.12594681549380785,0.19656722088689313,-0.24913853171800582,-0.04582200804976084,0.156334830648595,SRF,ESU,none,none
7 day min flow,CAC,-0.7144560463534216,-0.3602846234656889,-0.0034891249073359387,0.13259777146543816,0.3052497510597322,0.480324877364715,CAC,ESU,positive,negative
1 day max flow,CAC,-0.9851037602619165,-0.7413986960722792,-0.49945503552402626,0.26881098015826155,0.34205093274469356,0.41486144528085983,CAC,ESU,positive,negative
7 day min flow,SNC,-0.6086853139506366,-0.18101844138663284,0.24817213939366486,0.05083981278647953,0.1930377417217697,0.3349194198651617,SNC,ESU,positive,none
1 day max flow,SNC,-1.1353628846022337,-0.8044857223027204,-0.47911540876070197,0.06811538679477071,0.1256710740819633,0.18370102411865066,SNC,ESU,positive,negative
snowpack,Columbia Glaciated,-0.4889784363718964,-0.25061951963724183,-0.00971120857884289,-0.29957838799537095,-0.20088180575804504,-0.10500312123128558,CG,Ecoregion,negative,negative
snowpack,Columbia Unglaciated,-0.24763918141680424,-0.06135188493511078,0.12415442103181021,-0.03587062434373603,0.06841027635030922,0.17487017470642013,CU,Ecoregion,none,none
snowpack,Salish Sea & WA Coast,-0.33695273379077767,0.013494997107018911,0.36610114445845554,-0.4478710482185285,-0.31923648996559095,-0.19018931369423592,SW,Ecoregion,negative,none
snowpack,OR & N CA Coast,-0.46817830236202485,-0.15056040788166322,0.1634938123612482,0.13173763392456753,0.34998900450279075,0.5731953461043531,ON,Ecoregion,positive,none
snowpack,Sacramento San Joaquin,-0.31157917727869683,-0.0806035200113194,0.14873915916505165,0.2467677578901955,0.41614502967911926,0.5837213233409854,SS,Ecoregion,positive,none
Aug mean max temp,Columbia Glaciated,0.09468975045902622,0.3159686790553587,0.537303360604123,-0.12352393053976835,0.0467868475453031,0.20818716137079338,CG,Ecoregion,none,positive
Aug mean max temp,Columbia Unglaciated,0.2711490729583622,0.40976697105835486,0.5483726081813065,-0.16193143195618898,-0.05399110381873289,0.05345159779180164,CU,Ecoregion,none,positive
Aug mean max temp,Salish Sea & WA Coast,0.14718860778301807,0.3313759371994188,0.5155526693232964,-0.04409549771782581,0.0880137846368386,0.212549699435047,SW,Ecoregion,none,positive
Aug mean max temp,OR & N CA Coast,0.22034242008444482,0.39153372012366977,0.5626764084775322,-0.3136596829825552,-0.08902668889253577,0.16058974266064854,ON,Ecoregion,none,positive
Aug mean max temp,Sacramento San Joaquin & S CA Bight,-0.030049031419904615,0.28400022297590544,0.5980061762481883,-0.4997063556866611,-0.31277350892335987,-0.13283542989236927,SSSC,Ecoregion,negative,none
