year,index,timeseries,metric,se,SEup,SElo,comment
1998,0.078084392,mean_growth_rate,kg/day,0.002937578,0.08102197,0.075146814,
1999,0.076106485,mean_growth_rate,kg/day,0.006792762,0.082899247,0.069313723,
2000,0.078030727,mean_growth_rate,kg/day,0.00347624,0.081506967,0.074554487,
2001,0.093021232,mean_growth_rate,kg/day,0.003212752,0.096233984,0.08980848,
2002,0.0435491,mean_growth_rate,kg/day,0.003768428,0.047317528,0.039780672,
2003,0.079591747,mean_growth_rate,kg/day,0.005723092,0.085314839,0.073868655,
2004,0.071978443,mean_growth_rate,kg/day,0.003157285,0.075135728,0.068821158,
2005,0.082767465,mean_growth_rate,kg/day,0.004171266,0.086938731,0.078596199,
2006,0.066451134,mean_growth_rate,kg/day,0.003090695,0.069541829,0.063360439,
2007,0.075925084,mean_growth_rate,kg/day,0.003380025,0.079305109,0.072545059,
2008,0.056620005,mean_growth_rate,kg/day,0.003051012,0.059671017,0.053568993,
2009,0.063699173,mean_growth_rate,kg/day,0.004926198,0.068625371,0.058772975,
2010,0.085627099,mean_growth_rate,kg/day,0.002149097,0.087776196,0.083478002,
2011,,mean_growth_rate,kg/day,,,,
2012,0.017564872,mean_growth_rate,kg/day,0.003386984,0.020951856,0.014177888,
2013,0.058139166,mean_growth_rate,kg/day,0.003065636,0.061204802,0.05507353,
2014,0.017434628,mean_growth_rate,kg/day,0.001847422,0.01928205,0.015587206,
2015,0.012688475,mean_growth_rate,kg/day,0.003332315,0.01602079,0.00935616,
2016,0.066415,mean_growth_rate,kg/day,0.00191,0.068325,0.064505,
2017,0.08491,mean_growth_rate,kg/day,0.00292,0.08783,0.08199,
2018,0.07762,mean_growth_rate,kg/day,0.0022,0.07982,0.07542,
2019,0.09503055,mean_growth_rate,kg/day,0.011162791,0.106193341,0.083867759,
2020,,mean_growth_rate,kg/day,,,,
2021,0.075078584,mean_growth_rate,kg/day,0.000353287,0.075431871,0.074725297,
2022,0.085339116,mean_growth_rate,kg/day,0.003068621,0.088407737,0.082270495,
2023,0.057762953,mean_growth_rate,kg/day,0.00332,0.061082953,0.054442953,
