doy,index,SEup,Selo,timeseries,metric
132,377,NA,NA,Dungeness Megalopae Daily,No megalopae per day
133,99,NA,NA,Dungeness Megalopae Daily,No megalopae per day
134,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
135,252,NA,NA,Dungeness Megalopae Daily,No megalopae per day
136,50,NA,NA,Dungeness Megalopae Daily,No megalopae per day
137,31,NA,NA,Dungeness Megalopae Daily,No megalopae per day
138,981,NA,NA,Dungeness Megalopae Daily,No megalopae per day
139,22717,NA,NA,Dungeness Megalopae Daily,No megalopae per day
140,26981,NA,NA,Dungeness Megalopae Daily,No megalopae per day
141,615,NA,NA,Dungeness Megalopae Daily,No megalopae per day
142,9,NA,NA,Dungeness Megalopae Daily,No megalopae per day
143,437,NA,NA,Dungeness Megalopae Daily,No megalopae per day
144,4038,NA,NA,Dungeness Megalopae Daily,No megalopae per day
145,269,NA,NA,Dungeness Megalopae Daily,No megalopae per day
146,89,NA,NA,Dungeness Megalopae Daily,No megalopae per day
147,54,NA,NA,Dungeness Megalopae Daily,No megalopae per day
148,9,NA,NA,Dungeness Megalopae Daily,No megalopae per day
149,100,NA,NA,Dungeness Megalopae Daily,No megalopae per day
150,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
151,663,NA,NA,Dungeness Megalopae Daily,No megalopae per day
152,14347,NA,NA,Dungeness Megalopae Daily,No megalopae per day
153,423,NA,NA,Dungeness Megalopae Daily,No megalopae per day
154,435,NA,NA,Dungeness Megalopae Daily,No megalopae per day
155,85,NA,NA,Dungeness Megalopae Daily,No megalopae per day
156,187,NA,NA,Dungeness Megalopae Daily,No megalopae per day
157,9,NA,NA,Dungeness Megalopae Daily,No megalopae per day
158,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
159,23,NA,NA,Dungeness Megalopae Daily,No megalopae per day
160,45,NA,NA,Dungeness Megalopae Daily,No megalopae per day
161,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
162,233,NA,NA,Dungeness Megalopae Daily,No megalopae per day
163,453,NA,NA,Dungeness Megalopae Daily,No megalopae per day
164,103,NA,NA,Dungeness Megalopae Daily,No megalopae per day
165,25,NA,NA,Dungeness Megalopae Daily,No megalopae per day
166,175,NA,NA,Dungeness Megalopae Daily,No megalopae per day
167,233,NA,NA,Dungeness Megalopae Daily,No megalopae per day
168,2453,NA,NA,Dungeness Megalopae Daily,No megalopae per day
169,315,NA,NA,Dungeness Megalopae Daily,No megalopae per day
170,153,NA,NA,Dungeness Megalopae Daily,No megalopae per day
171,36,NA,NA,Dungeness Megalopae Daily,No megalopae per day
172,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
173,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
174,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
175,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
176,13,NA,NA,Dungeness Megalopae Daily,No megalopae per day
177,14,NA,NA,Dungeness Megalopae Daily,No megalopae per day
178,19,NA,NA,Dungeness Megalopae Daily,No megalopae per day
179,48,NA,NA,Dungeness Megalopae Daily,No megalopae per day
180,45,NA,NA,Dungeness Megalopae Daily,No megalopae per day
181,379,NA,NA,Dungeness Megalopae Daily,No megalopae per day
182,439,NA,NA,Dungeness Megalopae Daily,No megalopae per day
183,160,NA,NA,Dungeness Megalopae Daily,No megalopae per day
184,107,NA,NA,Dungeness Megalopae Daily,No megalopae per day
185,126,NA,NA,Dungeness Megalopae Daily,No megalopae per day
186,145,NA,NA,Dungeness Megalopae Daily,No megalopae per day
187,39,NA,NA,Dungeness Megalopae Daily,No megalopae per day
188,103,NA,NA,Dungeness Megalopae Daily,No megalopae per day
189,183,NA,NA,Dungeness Megalopae Daily,No megalopae per day
190,123,NA,NA,Dungeness Megalopae Daily,No megalopae per day
191,69,NA,NA,Dungeness Megalopae Daily,No megalopae per day
192,103,NA,NA,Dungeness Megalopae Daily,No megalopae per day
193,265,NA,NA,Dungeness Megalopae Daily,No megalopae per day
194,83,NA,NA,Dungeness Megalopae Daily,No megalopae per day
195,682,NA,NA,Dungeness Megalopae Daily,No megalopae per day
196,609,NA,NA,Dungeness Megalopae Daily,No megalopae per day
197,147,NA,NA,Dungeness Megalopae Daily,No megalopae per day
198,45,NA,NA,Dungeness Megalopae Daily,No megalopae per day
199,154,NA,NA,Dungeness Megalopae Daily,No megalopae per day
200,180,NA,NA,Dungeness Megalopae Daily,No megalopae per day
201,47,NA,NA,Dungeness Megalopae Daily,No megalopae per day
202,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
203,57,NA,NA,Dungeness Megalopae Daily,No megalopae per day
204,26,NA,NA,Dungeness Megalopae Daily,No megalopae per day
205,20,NA,NA,Dungeness Megalopae Daily,No megalopae per day
206,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
207,99,NA,NA,Dungeness Megalopae Daily,No megalopae per day
208,308,NA,NA,Dungeness Megalopae Daily,No megalopae per day
209,215,NA,NA,Dungeness Megalopae Daily,No megalopae per day
210,67,NA,NA,Dungeness Megalopae Daily,No megalopae per day
211,40,NA,NA,Dungeness Megalopae Daily,No megalopae per day
212,28,NA,NA,Dungeness Megalopae Daily,No megalopae per day
213,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
214,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
215,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
216,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
217,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
218,10,NA,NA,Dungeness Megalopae Daily,No megalopae per day
219,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
220,14,NA,NA,Dungeness Megalopae Daily,No megalopae per day
221,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
222,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
223,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
224,21,NA,NA,Dungeness Megalopae Daily,No megalopae per day
225,45,NA,NA,Dungeness Megalopae Daily,No megalopae per day
226,110,NA,NA,Dungeness Megalopae Daily,No megalopae per day
227,14,NA,NA,Dungeness Megalopae Daily,No megalopae per day
228,31,NA,NA,Dungeness Megalopae Daily,No megalopae per day
229,80,NA,NA,Dungeness Megalopae Daily,No megalopae per day
230,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
231,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
232,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
233,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
234,14,NA,NA,Dungeness Megalopae Daily,No megalopae per day
235,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
236,14,NA,NA,Dungeness Megalopae Daily,No megalopae per day
237,15,NA,NA,Dungeness Megalopae Daily,No megalopae per day
238,8,NA,NA,Dungeness Megalopae Daily,No megalopae per day
239,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
240,52,NA,NA,Dungeness Megalopae Daily,No megalopae per day
241,71,NA,NA,Dungeness Megalopae Daily,No megalopae per day
242,33,NA,NA,Dungeness Megalopae Daily,No megalopae per day
243,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
244,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
245,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
246,4,NA,NA,Dungeness Megalopae Daily,No megalopae per day
247,3,NA,NA,Dungeness Megalopae Daily,No megalopae per day
248,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
249,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
250,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
251,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
252,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
253,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
254,4,NA,NA,Dungeness Megalopae Daily,No megalopae per day
255,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
256,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
257,3,NA,NA,Dungeness Megalopae Daily,No megalopae per day
258,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
259,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
260,5,NA,NA,Dungeness Megalopae Daily,No megalopae per day
261,3,NA,NA,Dungeness Megalopae Daily,No megalopae per day
262,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
263,9,NA,NA,Dungeness Megalopae Daily,No megalopae per day
264,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
265,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
266,4,NA,NA,Dungeness Megalopae Daily,No megalopae per day
267,4,NA,NA,Dungeness Megalopae Daily,No megalopae per day
268,6,NA,NA,Dungeness Megalopae Daily,No megalopae per day
269,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
270,18,NA,NA,Dungeness Megalopae Daily,No megalopae per day
271,57,NA,NA,Dungeness Megalopae Daily,No megalopae per day
NA,NA,NA,NA,NA,NA
