year,index,n,se,SEup,SElo,timeseries,metric
2019,0.750970872,42,0.096010129,0.846981001,0.654960743,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2020,1.148451031,44,0.074471416,1.222922448,1.073979615,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2021,1.686916853,42,0.098715314,1.785632167,1.58820154,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2022,0.406815989,41,0.055526622,0.462342611,0.351289368,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2023,1.309710326,40,0.092442495,1.402152821,1.217267831,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2024,1.424201727,44,0.104686646,1.528888373,1.319515081,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
1999,0.077900445,29,0.026540815,0.10444126,0.05135963,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2000,0.331719272,26,0.075143579,0.406862851,0.256575693,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2001,0.595499282,37,0.152435501,0.747934783,0.443063781,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2002,0.999875807,34,0.163381764,1.16325757,0.836494043,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2003,0.678525932,38,0.147272831,0.825798763,0.531253102,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2004,1.051371347,39,0.180977308,1.232348655,0.870394039,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2005,0.496734441,33,0.138259783,0.634994224,0.358474659,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2006,0.656733083,43,0.143904463,0.800637546,0.512828619,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2007,0.414589585,44,0.132382992,0.546972576,0.282206593,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2008,0.690301114,45,0.144701538,0.835002652,0.545599576,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2009,0.512551183,45,0.125735729,0.638286912,0.386815454,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2010,0.418367741,45,0.084722227,0.503089968,0.333645515,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2011,0.412380075,44,0.097110797,0.509490872,0.315269278,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2012,0.268010207,44,0.090274995,0.358285202,0.177735213,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2013,0.592222007,45,0.121248339,0.713470346,0.470973668,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2014,0.570498307,43,0.114988193,0.6854865,0.455510114,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2015,0.066428944,40,0.02701292,0.093441864,0.039416023,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2016,0.14209288,41,0.0623363,0.20442918,0.07975658,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2017,0.383800284,42,0.095448739,0.479249022,0.288351545,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2018,0.639637795,42,0.118340267,0.757978063,0.521297528,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2019,0.503733143,42,0.106180194,0.609913336,0.397552949,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2020,0.404020086,44,0.119650334,0.52367042,0.284369752,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2021,0.507178894,42,0.117797304,0.624976198,0.389381589,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2022,0.262709906,41,0.077416379,0.340126285,0.185293527,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2023,0.530566289,40,0.130257639,0.660823928,0.40030865,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
2024,0.638486906,44,0.134436658,0.772923563,0.504050248,Chrysaora Sea Nettle,CPUE (Log10(no. km-1+ 1)
1999,0,29,0,0,0,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2000,0.019923852,26,0.008223249,0.028147101,0.011700603,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2001,0.005872773,37,0.004096065,0.009968837,0.001776708,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2002,0.006172186,34,0.004298137,0.010470323,0.001874049,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2003,0.00261045,38,0.00261045,0.0052209,0,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2004,0.005072198,39,0.003548565,0.008620762,0.001523633,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2005,0.008985762,33,0.006269318,0.01525508,0.002716443,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2006,0.023641269,43,0.009471131,0.0331124,0.014170137,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2007,0.002813765,44,0.002813765,0.005627531,0,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2008,0.0068956,45,0.003892174,0.010787774,0.003003426,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2009,0,45,0,0,0,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2010,0.014597412,45,0.006599773,0.021197185,0.007997639,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2011,0.001976627,44,0.001976627,0.003953253,0,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2012,0.033950342,44,0.012402741,0.046353083,0.021547601,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2013,0.002359143,45,0.002359143,0.004718286,4.33681E-19,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2014,0.00505216,43,0.003532997,0.008585157,0.001519163,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2015,0.037100458,40,0.01061005,0.047710509,0.026490408,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2016,0.083935575,41,0.020258816,0.104194391,0.063676759,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2017,0.009182128,42,0.005325922,0.01450805,0.003856206,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2018,0.019843641,42,0.006403224,0.026246865,0.013440417,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2019,0.019332046,42,0.008117221,0.027449268,0.011214825,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2020,0.02268254,44,0.007123088,0.029805627,0.015559452,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2021,0.014110301,42,0.006275529,0.020385831,0.007834772,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2022,0.047728301,41,0.013125462,0.060853763,0.034602839,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2023,0.019997768,40,0.008422009,0.028419777,0.011575759,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
2024,0.035877953,44,0.01309826,0.048976213,0.022779693,Egg yolk jelly,CPUE (Log10(no. km-1+ 1)
1998,0,17,0,0,0,Juvenile chum,CPUE (Log10(no. km-1+ 1)
1999,0.022071869,29,0.015947019,0.038018888,0.006124849,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2000,0.013653739,26,0.013653739,0.027307478,0,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2001,0.238335232,37,0.060869627,0.299204859,0.177465605,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2002,0.137012826,34,0.042840402,0.179853228,0.094172423,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2003,0.21489363,38,0.063829198,0.278722828,0.151064432,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2004,0.06656553,39,0.030931852,0.097497382,0.035633677,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2005,0.008506451,33,0.008506451,0.017012901,0,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2006,0.1879517,43,0.05170025,0.239651951,0.13625145,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2007,0.253366851,44,0.049453333,0.302820184,0.203913519,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2008,0.247486418,45,0.051754621,0.299241038,0.195731797,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2009,0.140770662,45,0.044165772,0.184936434,0.09660489,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2010,0.116208058,45,0.02815586,0.144363918,0.088052199,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2011,0.064055295,44,0.02139997,0.085455265,0.042655324,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2012,0.096907067,44,0.035446143,0.13235321,0.061460923,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2013,0.360012802,45,0.079333843,0.439346645,0.280678958,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2014,0.118972626,43,0.029973446,0.148946072,0.08899918,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2015,0.160822445,40,0.042826838,0.203649283,0.117995607,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2016,0.057951584,41,0.01999155,0.077943134,0.037960035,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2017,0.045663862,42,0.016982457,0.062646319,0.028681405,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2018,0.212811475,42,0.047689424,0.260500899,0.16512205,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2019,0.251950572,42,0.064182027,0.316132599,0.187768545,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2020,0.026199473,44,0.011007749,0.037207223,0.015191724,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2021,0.063433779,42,0.019939407,0.083373186,0.043494373,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2022,0.235009464,41,0.046257672,0.281267135,0.188751792,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2023,0.28160636,40,0.076027565,0.357633924,0.205578795,Juvenile chum,CPUE (Log10(no. km-1+ 1)
2024,0.228851082,44,0.047538227,0.276389309,0.181312855,Juvenile chum,CPUE (Log10(no. km-1+ 1)
1998,0,17,0,0,0,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
1999,0,29,0,0,0,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2000,0.007566909,26,0.007566909,0.015133819,-8.67362E-19,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2001,0.044560168,37,0.015715286,0.060275455,0.028844882,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2002,0.027230094,34,0.014344036,0.04157413,0.012886057,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2003,0.048549793,38,0.02367494,0.072224733,0.024874853,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2004,0.039931054,39,0.015933925,0.055864978,0.023997129,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2005,0.013722903,33,0.009838584,0.023561487,0.003884319,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2006,0.013307204,43,0.006439435,0.019746639,0.006867769,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2007,0.079879068,44,0.020736275,0.100615343,0.059142793,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2008,0.054182411,45,0.014498979,0.06868139,0.039683432,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2009,0.008249822,45,0.006325182,0.014575005,0.00192464,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2010,0.129588874,45,0.03164583,0.161234704,0.097943044,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2011,0.018978197,44,0.009505017,0.028483214,0.00947318,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2012,0.004606311,44,0.004606311,0.009212621,-8.67362E-19,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2013,0.070985161,45,0.028488811,0.099473972,0.042496351,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2014,0.045753693,43,0.014879205,0.060632898,0.030874488,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2015,0.053257462,40,0.022080304,0.075337765,0.031177158,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2016,0.007475035,41,0.004208722,0.011683757,0.003266313,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2017,0,42,0,0,0,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2018,0.022452519,42,0.011016379,0.033468898,0.01143614,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2019,0.015722243,42,0.00602718,0.021749424,0.009695063,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2020,0.019198639,44,0.008039671,0.02723831,0.011158967,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2021,0.007619397,42,0.004290755,0.011910152,0.003328643,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2022,0.043034948,41,0.013738213,0.056773161,0.029296735,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2023,0.01946775,40,0.011098843,0.030566593,0.008368907,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
2024,0.030840593,44,0.014733328,0.045573921,0.016107266,Juvenile sockeye,CPUE (Log10(no. km-1+ 1)
1998,0.323443047,17,0.112012632,0.435455679,0.211430415,Market squid,CPUE (Log10(no. km-1+ 1)
1999,0.380464981,29,0.103380265,0.483845246,0.277084717,Market squid,CPUE (Log10(no. km-1+ 1)
2000,0.063431668,26,0.037930733,0.101362401,0.025500936,Market squid,CPUE (Log10(no. km-1+ 1)
2001,0.23009081,37,0.094814978,0.324905788,0.135275832,Market squid,CPUE (Log10(no. km-1+ 1)
2002,0.37621369,34,0.100412837,0.476626527,0.275800853,Market squid,CPUE (Log10(no. km-1+ 1)
2003,0.55497934,38,0.12031746,0.6752968,0.43466188,Market squid,CPUE (Log10(no. km-1+ 1)
2004,0.306804423,39,0.068967994,0.375772417,0.237836429,Market squid,CPUE (Log10(no. km-1+ 1)
2005,0.124197359,33,0.064025925,0.188223284,0.060171434,Market squid,CPUE (Log10(no. km-1+ 1)
2006,0.302082047,43,0.087182548,0.389264595,0.214899499,Market squid,CPUE (Log10(no. km-1+ 1)
2007,0.07199576,44,0.027443453,0.099439213,0.044552308,Market squid,CPUE (Log10(no. km-1+ 1)
2008,0.041019468,45,0.012737116,0.053756584,0.028282353,Market squid,CPUE (Log10(no. km-1+ 1)
2009,0.009181312,45,0.004440136,0.013621448,0.004741175,Market squid,CPUE (Log10(no. km-1+ 1)
2010,0.130498911,45,0.066138912,0.196637823,0.064359999,Market squid,CPUE (Log10(no. km-1+ 1)
2011,0.229552188,44,0.071186,0.300738188,0.158366188,Market squid,CPUE (Log10(no. km-1+ 1)
2012,0.25732338,44,0.081691248,0.339014627,0.175632132,Market squid,CPUE (Log10(no. km-1+ 1)
2013,0.164397078,45,0.045144055,0.209541133,0.119253023,Market squid,CPUE (Log10(no. km-1+ 1)
2014,0.60819452,43,0.130763042,0.738957562,0.477431478,Market squid,CPUE (Log10(no. km-1+ 1)
2015,0.54017722,40,0.084306267,0.624483487,0.455870954,Market squid,CPUE (Log10(no. km-1+ 1)
2016,0.439280662,41,0.094929902,0.534210564,0.344350759,Market squid,CPUE (Log10(no. km-1+ 1)
2017,0.357636749,42,0.081451742,0.439088491,0.276185007,Market squid,CPUE (Log10(no. km-1+ 1)
2018,0.855962421,42,0.125266433,0.981228853,0.730695988,Market squid,CPUE (Log10(no. km-1+ 1)
2019,1.153470285,42,0.136920513,1.290390798,1.016549772,Market squid,CPUE (Log10(no. km-1+ 1)
2020,0.649395258,44,0.128637931,0.778033189,0.520757327,Market squid,CPUE (Log10(no. km-1+ 1)
2021,0.28811064,42,0.084321891,0.372432532,0.203788749,Market squid,CPUE (Log10(no. km-1+ 1)
2022,0.588815584,41,0.100172302,0.688987886,0.488643282,Market squid,CPUE (Log10(no. km-1+ 1)
2023,0.385202968,40,0.096457786,0.481660754,0.288745182,Market squid,CPUE (Log10(no. km-1+ 1)
2024,0.214082976,44,0.053992559,0.268075535,0.160090417,Market squid,CPUE (Log10(no. km-1+ 1)
1999,0,29,0,0,0,Moon jelly,CPUE (Log10(no. km-1+ 1)
2000,0.133278422,26,0.051495169,0.184773591,0.081783252,Moon jelly,CPUE (Log10(no. km-1+ 1)
2001,0.014969929,37,0.006314124,0.021284054,0.008655805,Moon jelly,CPUE (Log10(no. km-1+ 1)
2002,0.025240965,34,0.014075246,0.039316211,0.011165719,Moon jelly,CPUE (Log10(no. km-1+ 1)
2003,0.006274846,38,0.004377041,0.010651887,0.001897804,Moon jelly,CPUE (Log10(no. km-1+ 1)
2004,0.045998252,39,0.016804278,0.06280253,0.029193974,Moon jelly,CPUE (Log10(no. km-1+ 1)
2005,0.028094491,33,0.012687526,0.040782017,0.015406965,Moon jelly,CPUE (Log10(no. km-1+ 1)
2006,0.019802685,43,0.010222048,0.030024733,0.009580637,Moon jelly,CPUE (Log10(no. km-1+ 1)
2007,0.021967528,44,0.011684504,0.033652031,0.010283024,Moon jelly,CPUE (Log10(no. km-1+ 1)
2008,0.012529348,45,0.009810283,0.022339632,0.002719065,Moon jelly,CPUE (Log10(no. km-1+ 1)
2009,0.067941918,45,0.030048341,0.097990259,0.037893577,Moon jelly,CPUE (Log10(no. km-1+ 1)
2010,0.055672733,45,0.013967303,0.069640035,0.04170543,Moon jelly,CPUE (Log10(no. km-1+ 1)
2011,0.010808344,44,0.00679637,0.017604714,0.004011973,Moon jelly,CPUE (Log10(no. km-1+ 1)
2012,0.004977684,44,0.003478857,0.00845654,0.001498827,Moon jelly,CPUE (Log10(no. km-1+ 1)
2013,0.008796564,45,0.005154908,0.013951472,0.003641657,Moon jelly,CPUE (Log10(no. km-1+ 1)
2014,0.021040339,43,0.008889903,0.029930242,0.012150437,Moon jelly,CPUE (Log10(no. km-1+ 1)
2015,0.030792236,40,0.012134046,0.042926282,0.018658189,Moon jelly,CPUE (Log10(no. km-1+ 1)
2016,0.061055243,41,0.014042173,0.075097416,0.04701307,Moon jelly,CPUE (Log10(no. km-1+ 1)
2017,0,42,0,0,0,Moon jelly,CPUE (Log10(no. km-1+ 1)
2018,0.087607279,42,0.037395037,0.125002316,0.050212242,Moon jelly,CPUE (Log10(no. km-1+ 1)
2019,0.046470899,42,0.014698034,0.061168933,0.031772866,Moon jelly,CPUE (Log10(no. km-1+ 1)
2020,0.145063083,44,0.040802809,0.185865892,0.104260274,Moon jelly,CPUE (Log10(no. km-1+ 1)
2021,0.040411812,42,0.01609852,0.056510332,0.024313292,Moon jelly,CPUE (Log10(no. km-1+ 1)
2022,0.072302072,41,0.01770943,0.090011502,0.054592642,Moon jelly,CPUE (Log10(no. km-1+ 1)
2023,0.040112194,40,0.010364095,0.05047629,0.029748099,Moon jelly,CPUE (Log10(no. km-1+ 1)
2024,0.058072026,44,0.011317667,0.069389694,0.046754359,Moon jelly,CPUE (Log10(no. km-1+ 1)
1998,0,17,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
1999,0,29,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2000,0,26,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2001,0,37,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2002,0,34,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2003,0.037687942,38,0.026665453,0.064353395,0.011022489,Pompano,CPUE (Log10(no. km-1+ 1)
2004,0.018848046,39,0.013298946,0.032146992,0.005549101,Pompano,CPUE (Log10(no. km-1+ 1)
2005,0,33,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2006,0.015947271,43,0.015947271,0.031894541,0,Pompano,CPUE (Log10(no. km-1+ 1)
2007,0,44,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2008,0,45,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2009,0,45,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2010,0,45,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2011,0.002236847,44,0.002236847,0.004473694,0,Pompano,CPUE (Log10(no. km-1+ 1)
2012,0,44,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2013,0,45,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2014,0.017817633,43,0.012816616,0.030634249,0.005001018,Pompano,CPUE (Log10(no. km-1+ 1)
2015,0.055515583,40,0.043392846,0.098908429,0.012122737,Pompano,CPUE (Log10(no. km-1+ 1)
2016,0.136570003,41,0.061800924,0.198370928,0.074769079,Pompano,CPUE (Log10(no. km-1+ 1)
2017,0.103504403,42,0.049353721,0.152858124,0.054150682,Pompano,CPUE (Log10(no. km-1+ 1)
2018,0.055165906,42,0.036001317,0.091167224,0.019164589,Pompano,CPUE (Log10(no. km-1+ 1)
2019,0.028117616,42,0.020128938,0.048246554,0.007988678,Pompano,CPUE (Log10(no. km-1+ 1)
2020,0.006718677,44,0.003796058,0.010514735,0.002922618,Pompano,CPUE (Log10(no. km-1+ 1)
2021,0,42,0,0,0,Pompano,CPUE (Log10(no. km-1+ 1)
2022,0.026710712,41,0.013071141,0.039781853,0.013639571,Pompano,CPUE (Log10(no. km-1+ 1)
2023,0.014543619,40,0.014543619,0.029087238,0,Pompano,CPUE (Log10(no. km-1+ 1)
2024,0.022357428,44,0.012530031,0.034887458,0.009827397,Pompano,CPUE (Log10(no. km-1+ 1)
1998,0.180505987,17,0.084993263,0.26549925,0.095512725,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
1999,0.007898087,29,0.007898087,0.015796173,0,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2000,0.095194995,26,0.035156545,0.13035154,0.06003845,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2001,0.040331783,37,0.020711009,0.061042792,0.019620774,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2002,0.146262097,34,0.039484066,0.185746163,0.106778031,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2003,0.28932133,38,0.063254421,0.352575751,0.226066909,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2004,0.166004542,39,0.037031268,0.20303581,0.128973273,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2005,0.050396499,33,0.026308778,0.076705277,0.024087721,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2006,0.175230052,43,0.048018766,0.223248818,0.127211286,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2007,0.123796581,44,0.045514328,0.169310909,0.078282254,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2008,0.134971558,45,0.03329476,0.168266318,0.101676798,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2009,0.238691758,45,0.058201157,0.296892915,0.180490602,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2010,0.280577165,45,0.058196366,0.338773531,0.222380799,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2011,0.145941786,44,0.033003768,0.178945554,0.112938018,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2012,0.070669795,44,0.027743775,0.09841357,0.04292602,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2013,0.15275674,45,0.048930059,0.201686799,0.10382668,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2014,0.11939295,43,0.034021446,0.153414396,0.085371504,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2015,0.071916105,40,0.028749134,0.100665239,0.043166971,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2016,0.281193198,41,0.069772661,0.35096586,0.211420537,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2017,0.056066619,42,0.022048333,0.078114952,0.034018286,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2018,0.175421717,42,0.046258275,0.221679992,0.129163442,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2019,0.17162505,42,0.052035674,0.223660724,0.119589375,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2020,0.202308051,44,0.066033631,0.268341681,0.13627442,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2021,0.147716777,42,0.053573808,0.201290586,0.094142969,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2022,0.139446185,41,0.036066112,0.175512297,0.103380073,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2023,0.172481666,40,0.047783597,0.220265264,0.124698069,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
2024,0.162107342,44,0.05088405,0.212991392,0.111223292,Subyearling Chinook,CPUE (Log10(no. km-1+ 1)
1998,0.093825728,17,0.036344352,0.13017008,0.057481376,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
1999,0.286233844,29,0.062554541,0.348788385,0.223679303,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2000,0.224826285,26,0.053058662,0.277884947,0.171767623,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2001,0.121911142,37,0.03643203,0.158343172,0.085479112,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2002,0.232924556,34,0.04428387,0.277208426,0.188640686,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2003,0.203889901,38,0.037649503,0.241539404,0.166240398,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
2004,0.148782189,39,0.025884851,0.17466704,0.122897337,Yearling Chinook,CPUE (Log10(no. km-1+ 1)
